stem_id,example_id,example_form,example_form_comm_untokenised,example_form_comm_tokenised,ex_DE,ex_EN,ex_IDN,example_variant,ex_variant_comm_untokenised,ex_variant_comm_tokenised,ex_variant_DE,ex_variant_EN,ex_variant_IDN,example_dialect_variant,example_etymological_form,example_etymological_language_donor,example_loanword_form,example_loanword_language_donor,example_source_form,example_source_form_homonymID,ex_remark_DE,ex_remark_EN,ex_remark_IDN,ex_crossref_DE,ex_crossref_EN,ex_crossref_IDN,ex_concept,ex_variant_concept,ex_remark_concept,ex_crossref_concept
10_1683776956,10_1683776956_3,ˀuadodo (iˀioo) uˀubéˀe,'uadodo (i'ioo) u'ube'e,' u a d o d o # ( i ' i o o ) # u ' u b e ' e,ich schlucke Arznei,I swallow medicine,Aku minum (lit. menelan) obat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1683776956,10_1683776956_4,kabadodo,kabadodo,k a b a d o d o,etwas verschlucken,to swallow something,menelan sesuatu,kakubdo; kabukodo,kakubdo; kabukodo,k a k u b d o ; # k a b u k o d o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1683776956,10_1683776956_5,ekodoho,ekodoho,e k o d o h o,(noun) zu Schluckende,(things) to be swallowed (noun),(benda) yang ditelan (kata benda),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1683776956,10_1683776956_6,ekodəa,ekodu̇a,e k o d u̇ a,"(noun) Schlucken , Verschluckensort","swallowing (noun) , place of swallowing","(proses) menelan/penelanan , tempat menelan",eadədəa; ekədəa; ekərəa,eadu̇du̇a; eku̇du̇a; eku̇ru̇a,e a d u̇ d u̇ a ; # e k u̇ d u̇ a ; # e k u̇ r u̇ a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1683776956,10_1683776956_7,eabadodo,eabadodo,e a b a d o d o,das (Ver)Schlucken,the (swallowing),penelanan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1683776956,10_1683776956_8,edikodo,edikodo,e d i k o d o,(noun) Verschluckte,swallowed (things) (noun),(benda) yang ditelan (kata benda),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1683777395,10_1683777395_0,kikodóki,kikodóki,k i k o d ó k i,sie verwendet als Schurz (trockene Bananenblätter),she used as an apron (dry banana leaves),Dia menggunakannya sebagai celemek (daun pisang kering),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G69,G69,G69,cultural item,NA,NA,NA
10_1683777395,10_1683777395_1,eˀokodo,e'okodo,e ' o k o d o,Frauenschurz (aus Glasperlen),Woman's apron (made of glass beads),Celemek wanita (terbuat dari manik-manik kaca),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cultural item,NA,NA,NA
10_1683777395,10_1683777395_2,kaˀokodo,ka'okodo,k a ' o k o d o,solch einen Schurz tragen,to wear such an apron,memakai celemek seperti itu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1683777605,10_1683777605_0,ˀakodu; ˀakoru; ˀakolu,'akodu; 'akoru; 'akolu,' a k o d u ; # ' a k o r u ; # ' a k o l u,drei,three,tiga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,§ 33,§ 33,§ 33,NA,NA,NA,NA
10_1683777741,10_1683777741_0,kamũkõˀẽ,kamũkõ'ẽ,k a m ũ k õ ' ẽ,sie legt etwas über etwas,she puts something on top of something,dia meletakkan sesuatu di atas sesuatu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1683778683,10_1683778683_0,ekoˀee-ekoˀeˀe,eko'ee-eko'e'e,e k o ' e e - e k o ' e ' e,sämtliche Teufel,all devils,semua setan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,§ 2d,§ 2d,§ 2d,NA,NA,NA,NA
10_1683778683,10_1683778683_1,ekoˀeˀe iakapita,eko'e'e iakapita,e k o ' e ' e # i a k a p i t a,Dämon an der Flußmündung,Demon at the mouth of the river,Iblis di muara sungai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H88:280 èkowèk ijakafita,H88:280 èkowèk ijakafita,H88:280 èkowèk ijakafita,cultural myth,NA,NA,NA
10_1683778683,10_1683778683_2,ekoˀeˀe ixoo ukue,eko'e'e ixoo ukue,e k o ' e ' e # i x o o # u k u e,Walddämon,Forest demon,Setan hutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cultural myth,NA,NA,NA
10_1683778683,10_1683778683_3,ekoˀeˀe ukaˀudara,eko'e'e uka'udara,e k o ' e ' e # u k a ' u d a r a,Dorfdämon,Village demon,Setan desa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cultural myth,NA,NA,NA
10_1683778683,10_1683778683_4,ekoˀeˀe iˀoki,eko'e'e i'oki,e k o ' e ' e # i ' o k i,Dämon an der Küste,demon on the shore,setan di pantai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cultural myth,NA,NA,NA
10_1683778804,10_1683778804_0,kipakoéhe-koehe,kipakoehe-koehe,k i p a k o e h e - k o e h e,hocken,to crouch,berjongkok,kipakokoéhe,kipakokoehe,k i p a k o k o e h e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1683778804,10_1683778804_1,epahakokoehea,epahakokoehea,e p a h a k o k o e h e a,Hockensort,place of crouching,tempat jongkok,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684029426,10_1684029426_0,kipakõhãˀã:õ,kipakõhã'ã:õ,k i p a k õ h ã ' ã:õ,"auf etwas stoßen , antreffen",to come across something,menemukan sesuatu,kipakõˀõh[õ]aˀa,kipakõ'õh[õ]a'a,k i p a k õ ' õ h [ õ ] a ' a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684029605,10_1684029605_0,kipakohe,kipakohe,k i p a k o h e,(Männer mit Haumesser oder Speer) tanzen,(men with cleavers or spears) dance,tarian (pria dengan golok atau tombak),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684204920,10_1684204920_0,kikohe,kikohe,k i k o h e,hobeln,to plane,menarah/meratakan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684204920,10_1684204920_1,hoo bukohe,hoo bukohe,h o o # b u k o h e,hobelte bereits,already planed,sudah menarah/meratakan,kubohe,kubohe,k u b o h e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684204920,10_1684204920_10,earohe,earohe,e a r o h e,das Hobeln,the planing,penarahan/perataan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684204920,10_1684204920_2,kikohea,kikohea,k i k o h e a,wird hobeln,will plane,akan menarah/meratakan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684204920,10_1684204920_3,kidikohe,kidikohe,k i d i k o h e,wird gehobelt,is/will be planed,sedang/akan ditarah/diratakan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684204920,10_1684204920_4,kadohe u-,kadohe u-,k a d o h e # u -,etwas hobeln,to plane something,menarah/meratakan sesuatu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684204920,10_1684204920_5,kikohéaˀa,kikohea'a,k i k o h e a ' a,etwas mit etwas hobeln,to plane something with something,menarah/meratakan sesuatu dengan sesuatu (alat),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684204920,10_1684204920_6,eokohe,eokohe,e o k o h e,Hobel,Plane,penarahan/perataan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130z26: eokohoe,130z26: eokohoe,130z26: eokohoe,NA,NA,NA,NA
10_1684204920,10_1684204920_7,edikohe,edikohe,e d i k o h e,(noun) Gehobelte,(thing) planed (noun),(benda) yang ditarah/diratakan (kata benda),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684204920,10_1684204920_8,edikohéaˀa,edikohea'a,e d i k o h e a ' a,"das , womit gehobelt wird",that with which is planed,"(benda) itu, yang digunakan untuk menarah/meratakan (alat menarah/meratakan)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684204920,10_1684204920_9,eadohea,eadohea,e a d o h e a,Hobelnsort,place of planing,tempat menarah/meratakan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684205147,10_1684205147_0,ˀua kikohéa,'ua kikohea,' u a # k i k o h e a,ich gleite ab/aus (wie der ekãmãã-Fisch),I slide off (like the ekãmãã fish),Saya meluncur (seperti ikan ekãmãã),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G56,G56,G56,NA,NA,NA,NA
10_1684206125,10_1684206125_0,kikõhẽãˀã́ho:i,kikõhẽã'ã́ho:i,k i k õ h ẽ ã ' ã ́ h o:i,beschützen,to protect,melindungi,NA,NA,NA,NA,NA,NA,NA,NA,"""""",NA,"""""",NA,NA,Nǃ??,Nǃ??,Nǃ??,NA,NA,NA,NA,NA,NA,NA
10_1684206125,10_1684206125_1,kikõhẽãˀáho:i ˀua iˀioo ukohéaˀa,kikõhẽã'áho:i 'ua i'ioo ukohea'a,k i k õ h ẽ ã ' á h o:i # ' u a # i ' i o o # u k o h e a ' a,ich schütze mich mit einem Windschirm,I protect myself with a windscreen,Saya melindungi diri saya dengan pelindung (dari) angin,NA,NA,NA,NA,NA,NA,NA,NA,"""""",NA,"""""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684206125,10_1684206125_2,kidikoheaˀáho:i,kidikohea'áho:i,k i d i k o h e a ' á h o:i,beschützt werden,to be protected,dilindungi,NA,NA,NA,NA,NA,NA,NA,NA,"""""",NA,"""""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684206125,10_1684206125_3,edikoheaˀaho:i,edikohea'aho:i,e d i k o h e a ' a h o:i,(noun) Beschützte,protected (people/things) (noun),(orang/benda) yang dilindungi,NA,NA,NA,NA,NA,NA,NA,NA,"""""",NA,"""""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684206269,10_1684206269_0,ekehe pakoheda,ekehe pakoheda,e k e h e # p a k o h e d a,ein pakoheda - Beil (das man angeblich bei Chinesen eingetauscht hat),a pakoheda hatchet (said to have been traded with the Chinese),kapak pakoheda (konon telah diperdagangkan dengan orang Cina),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cultural item,NA,NA,NA
10_1684208544,10_1684208544_0,ekõhõ,ekõhõ,e k õ h õ,"(noun) Schwarze , Dunkle , Schmutz","Black , dark , dirt (noun)","Hitam , gelap , kotoran (kata benda)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684208544,10_1684208544_1,ekõhõ uˀobi,ekõhõ u'obi,e k õ h õ # u ' o b i,Holzkohle,Charcoal,Arang,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684208544,10_1684208544_2,eaˀakõhõ,ea'akõhõ,e a ' a k õ h õ,Schwärze,Blackness,Kegelapan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684208544,10_1684208544_3,kaˀakõhõ,ka'akõhõ,k a ' a k õ h õ,"dunkel , schwarz",dark black,"gelap, hitam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684208788,10_1684208788_0,epakohoo ubee,epakohoo ubee,e p a k o h o o # u b e e,das gemeinsame Saugen der Muttermilch = Verwandtsein,suckling mother's milk together = kinship,menyusui ASI bersama = kekerabatan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G9,G9,G9,NA,NA,NA,NA
10_1684209771,10_1684209771_0,kadodohodi ekaraha,kadodohodi ekaraha,k a d o d o h o d i # e k a r a h a,mein (?) Körper schwitzt,my (?) body is sweating,tubuh saya (?) berkeringat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684209771,10_1684209771_1,ekohodio,ekohodio,e k o h o d i o,das Schwitzen,sweating (noun),berkeringat (kata benda),eaˀakohodĩ́o,ea'akohodĩ́o,e a ' a k o h o d ĩ ́ o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684209771,10_1684209771_2,ekohodio iˀióóˀo:u,ekohodio i'ióó'o:u,e k o h o d i o # i ' i ó ó ' o:u,ich schwitze,I sweat,Aku berkeringat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684209771,10_1684209771_3,kaˀakohodio,ka'akohodio,k a ' a k o h o d i o,"schwitzen , es heiß haben","to sweat , to be hot","berkeringat , menjadi panas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684209771,10_1684209771_4,kipakohodíoho:i,kipakohodíoho:i,k i p a k o h o d í o h o:i,"schwitzen machen , schwitzen lassen",to make (someone/something) sweat,membuat (seseorang/sesuatu) berkeringat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684209771,10_1684209771_5,kipakohodíoho:i eheda ukəha,kipakohodíoho:i eheda uku̇ha,k i p a k o h o d í o h o:i # e h e d a # u k u̇ h a,das Fleisch der Seeschildkröte läßt schwitzen,The meat of the sea turtle lets you sweat,Daging penyu membuat Anda berkeringat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684209771,10_1684209771_6,epakohodíoho:i,epakohodíoho:i,e p a k o h o d í o h o:i,das Schwitzenlassen,making (someone/something) sweat (noun),(proses) membuat (seseorang/sesuatu) berkeringat (kata benda),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684210176,10_1684210176_0,kikoho:i,kikoho:i,k i k o h o:i,etwas schlürfen,to slurp something,menyeruput sesuatu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684210176,10_1684210176_1,epakoho:i,epakoho:i,e p a k o h o:i,das Schlürfen,the slurping,(proses) menyeruput,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684210646,10_1684210646_0,kipakõhõĩ,kipakõhõĩ,k i p a k õ h õ ĩ,"zusammensetzen , -fügen , -binden","to put together , join together , bind together","menyatukan , bergabung bersama , mengikat bersama",kipakõhõˀĩãˀã,kipakõhõ'ĩã'ã,k i p a k õ h õ ' ĩ ã ' ã,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684210646,10_1684210646_1,epakõhõĩyã,epakõhõĩyã,e p a k õ h õ ĩ y ã,Verbindungsstelle (Knoten),junction (knot),persimpangan (simpul),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684211112,10_1684211112_0,kikohopái,kikohopái,k i k o h o p á i,auf den Schoß nehmen,to take on one's lap,berpangku (di pangkuan) seseorang,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684211112,10_1684211112_1,hoo bukohopai,hoo bukohopai,h o o # b u k o h o p a i,nahm bereits auf den Schoß,already took on his lap,sudah berpangku,hopai,hopai,h o p a i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684211112,10_1684211112_2,edikohopai,edikohopai,e d i k o h o p a i,(noun) auf den Schoß Genommene,(things) taken on the lap,(benda-benda) yang dipangku,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684216575,10_1684216575_0,kakõhõpĩõ,kakõhõpĩõ,k a k õ h õ p ĩ õ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pl,Plural,Jamak,NA,NA,NA,NA,NA,NA,NA
10_1684216575,10_1684216575_1,kaˀakõhõpĩõ,ka'akõhõpĩõ,k a ' a k õ h õ p ĩ õ,einen Enkel haben,to have a grandson,memiliki seorang cucu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684216575,10_1684216575_2,ki kipakõhõpĩõ,ki kipakõhõpĩõ,k i # k i p a k õ h õ p ĩ õ,"sie , die Enkel","them , the grandchildren","mereka, cucu-cucu(nya)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90z2,90z2,90z2,NA,NA,NA,NA
10_1684234186,10_1684234186_0,eokoi,eokoi,e o k o i,das Gehen,the walking,(proses) berjalan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684234186,10_1684234186_1,eokoiya,eokoiya,e o k o i y a,(Gehensort =) Weg,(walking place =) path,tempat berjalan (jalur),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684234186,10_1684234186_2,kipokoiyáˀa,kipokoiyá'a,k i p o k o i y á ' a,jmd gehen lassen,to let someone go,membiarkan seseorang pergi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,s koi²,see koi²,lihat koi²,NA,NA,NA,NA
10_1684234186,10_1684234186_3,ˀua kipahakoiyaˀa ubeo eˀana,'ua kipahakoiya'a ubeo e'ana,' u a # k i p a h a k o i y a ' a # u b e o # e ' a n a,ich lasse jenen Hund gehen,I let that dog go,Aku membiarkan anjing itu pergi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684234186,10_1684234186_4,kipahakoiya?a:əa uici,kipahakoiya?a:u̇a uici,k i p a h a k o i y a ? a:u̇ a # u i c i,etwas mitteilen,to tell something,menceritakan sesuatu,kipakokoi eici,kipakokoi eici,k i p a k o k o i # e i c i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684234902,10_1684234902_0,kipahakoiyaˀa u-,kipahakoiya'a u-,k i p a h a k o i y a ' a # u -,etwas loslassen,to let something go,membiarkan sesuatu pergi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,s koi¹,see koi¹,lihat koi¹,NA,NA,NA,NA
10_1684234902,10_1684234902_1,epahakoiyaˀa,epahakoiya'a,e p a h a k o i y a ' a,das Loslassen,the letting go,(proses) membiarkan (sesuatu) pergi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684235054,10_1684235054_0,kipahakoi u-,kipahakoi u-,k i p a h a k o i # u -,etwas befolgen,to follow something,mengikuti sesuatu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684235366,10_1684235366_0,kikoi,kikoi,k i k o i,"etwas spalten , auseinanderbrechen , spleißen","to split , to break apart , to splice","membelah , memecah , menyambung","kadoi, karoi","kadoi, karoi","k a d o i , # k a r o i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10_1684235366,10_1684235366_1,earoiya,earoiya,e a r o i y a,Spaltensort,place of splitting,tempat pemisahan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cultural item,NA,NA,NA
10_1684235366,10_1684235366_2,eokoi,eokoi,e o k o i,Pfahl mit Eisenspitze zum Spalten von Kokosnüssen,Iron-tipped stake for splitting coconuts,Tongkat berujung besi untuk membelah kelapa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cultural item,NA,NA,NA
10_1684235502,10_1684235502_0,kabaˀakoi,kaba'akoi,k a b a ' a k o i,Knollen haben,to have tubers,memiliki umbi-umbian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cultural item,NA,NA,NA
10_1684236203,10_1684236203_0,eokoka,eokoka,e o k o k a,Fußbodenbretter,Floor boards,Papan lantai,NA,NA,NA,NA,NA,NA,NA,NA,"""""",NA,"""""",NA,NA,NA,NA,NA,NA,NA,NA,cultural item,NA,NA,NA
10_1684236203,10_1684236203_1,eokoka uubada,eokoka uubada,e o k o k a # u u b a d a,Fußbodenbretter ihrer Häuser (= Erbstücke),Floor boards of their houses (= heirlooms),Papan lantai rumah mereka (= pusaka),NA,NA,NA,NA,NA,NA,NA,NA,"""""",NA,"""""",NA,NA,NA,NA,NA,131z15,131z15,131z15,cultural item,NA,NA,NA
