stem_id	kms_Alphabet	kms_page	kms_entry_no	stem_form	stem_homonymID	stem_DE	stem_EN	stem_IDN	stem_formVarian	stem_variant_DE	stem_variant_EN	stem_variant_IDN	stem_dialectVariant	stem_etymological_form	stem_etym_form_German	stem_etymological_language_donor	stem_source_form	stem_source_form_homonymID	stem_remark_DE	stem_remark_EN	stem_remark_IDN	stem_crossref_DE	stem_crossref_EN	stem_crossref_IDN	example_id	example_form	ex_DE	ex_EN	ex_IDN	example_variant	ex_variant_DE	ex_variant_EN	ex_variant_IDN	example_dialect_variant	example_etymological_form	example_etymological_language_donor	example_loanword_form	example_loanword_language_donor	example_source_form	example_source_form_homonymID	ex_remark_DE	ex_remark_EN	ex_remark_IDN	ex_crossref_DE	ex_crossref_EN	ex_crossref_IDN	ex_concept	ex_variant_concept	ex_remark_concept	ex_crossref_concept	stem_loan_form	stem_loan_lang
11_1685430453	a	1	7	ˀaa	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11_1685430453_10	eˀaa ukabake	Gerippe , Skelett	skeleton	kerangka	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	body-part	NA	NA	NA	NA	NA
11_1685430453	a	1	7	ˀaa	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11_1685430453_11	eˀaa ukaraha	Knochen	Bone (sg/pl)	tulang (tunggal/jamak)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	body-part	NA	NA	NA	NA	NA
11_1685430453	a	1	7	ˀaa	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11_1685430453_12	eˀaa ukĩˀĩ	Unterkiefer	Lower jaw	Rahang bawah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	body-part	NA	NA	NA	NA	NA
11_1685430453	a	1	7	ˀaa	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11_1685430453_13	eˀaa ukũkã	Rückgrat , Wirbelsäule	Spine , vertebral column	Tulang belakang , kolom tulang belakang	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	body-part	NA	NA	NA	NA	NA
11_1685430453	a	1	7	ˀaa	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11_1685430453_14	eˀaa upoo	Kokosnußschale	Coconut shell	Tempurung kelapa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ML tempurung	ML tempurung	ML tempurung	NA	NA	NA	body-part	NA	NA	NA	NA	NA
11_1685430453	a	1	7	ˀaa	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11_1685430453_15	eˀaa uudu [ukabake]	(Toten-)Schädel	(Dead) skull	tengkorak (Mati)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	body-part	NA	NA	NA	NA	NA
11_1685430453	a	1	7	ˀaa	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11_1685430453_16	eˀaa uuku	Rippen (knochen)	Ribs (bones)	tulang rusuk	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	body-part	NA	NA	NA	NA	NA
11_1685430453	a	1	7	ˀaa	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11_1685430453_2	eˀaa uˀa:iyo	(Fisch-) Gräte	(Fish) bone	tulang (ikan)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	body-part	NA	NA	NA	NA	NA
11_1685430453	a	1	7	ˀaa	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11_1685430453_3	eˀaa uˀakaruba	Türpfosten	Doorpost	Tiang pintu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	body-part	NA	NA	NA	NA	NA
11_1685430453	a	1	7	ˀaa	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11_1685430453_4	eˀaa uãmãhã	Brustbein	Breastbone	Tulang dada	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	body-part	NA	NA	NA	NA	NA
11_1685430453	a	1	7	ˀaa	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11_1685430453_5	eˀaa uˀapo	Armknochen	Arm bone	Tulang lengan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	body-part	NA	NA	NA	NA	NA
11_1685430453	a	1	7	ˀaa	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11_1685430453_6	eˀaa udahá:uhu	Himmel	sky	langit	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	space	NA	NA	NA	NA	NA
11_1685430453	a	1	7	ˀaa	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11_1685430453_7	eˀaa udopo itebe	Himmel	sky	langit	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	space	NA	NA	NA	NA	NA
11_1685430453	a	1	7	ˀaa	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11_1685430453_8	eˀaa uiˀo	Steiß	Rump	bagian buntuk/belakang	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1685430453	a	1	7	ˀaa	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11_1685430453_9	eˀaa ukaˀa	Gebiß , Zähne	Denture , Teeth	Gigi tiruan , Gigi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1685430716	a	2	1	aˀa	1	gehǃ	goǃ	pergiǃ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11_1685430716_0	kaˀa·nãˀã	laßt uns gehenǃ	Let's goǃ	Mari kita pergi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1685430762	a	2	2	éaˀa	2	jene(r/s) - korrelat zur 3.P	those - correlative to the 3rd Person Singular or Plural	mereka - berhubungan dengan Orang Ketiga Tunggal atau Jamak	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1685430833	a	2	3	-aˀa	1	kennzeichnet die komplexe Variation bei Verben	marks the complex variation in verbs	menandai variasi kompleks dalam kata kerja	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	§§ 15k, 37, 55	§§ 15k , 37 , 55	§§ 15k , 37 , 55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1685430954	a	2	4	-aˀa	2	Suffix an Verbalstämmen, das die Aufforderung an die 2.Pl kennzeichnet	Suffix on verbal stems that marks the request to the 2nd Person Plural	Akhiran/sufiks pada kata kerja yang menandai permintaan kepada orang kedua jamak	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	§ 15	§ 15	§ 15	11_1685430954_0	enãmĩ kia	Schau nach ihm ausǃ	Look out for himǃ (sg)	Perhatikan diaǃ (bentuk tunggal)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1685430954	a	2	4	-aˀa	2	Suffix an Verbalstämmen, das die Aufforderung an die 2.Pl kennzeichnet	Suffix on verbal stems that marks the request to the 2nd Person Plural	Akhiran/sufiks pada kata kerja yang menandai permintaan kepada orang kedua jamak	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	§ 15	§ 15	§ 15	11_1685430954_1	enãmĩãˀã kia	schaut nach ihm ausǃ	Look out for himǃ (pl)	Perhatikan diaǃ (bentuk jamak)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1685431014	a	2	5	ˀaˀa	1	NA	NA	NA	ˀaˀo ; ˀoˀo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11_1685431014_0	kipaˀaˀa	zeigen	show	menunjukkan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1685431230	a	2	6	ˀaˀa	2	NA	NA	NA	NA	NA	NA	NA	NA	kaka	NA	PAN (Proto-Austronesian)	NA	NA	NA	NA	NA	NA	NA	NA	11_1685431230_0	[e]ˀaˀa	ältere Schwester , älterer Bruder , älteres Halbgeschwister ; Schwager , Schwägerin (Anrede des Ehemanns oder der Ehefrau an den älteren Bruder oder die ältere Schwester des Mannes bzw. der Frau)	elder sister , elder brother , elder half-sibling ; brother-in-law , sister-in-law (husband's or wife's address to the husband's or wife's elder brother or sister).	kakak perempuan, kakak laki-laki, saudara tiri laki-laki, saudara tiri perempuan, ipar laki-laki, ipar perempuan (sapaan suami atau istri kepada kakak laki-laki atau perempuan suami atau istri).	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1685431230	a	2	6	ˀaˀa	2	NA	NA	NA	NA	NA	NA	NA	NA	kaka	NA	PAN (Proto-Austronesian)	NA	NA	NA	NA	NA	NA	NA	NA	11_1685431230_1	kahoˀaˀa	Pl	Plural	bentuk jamak	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	§ 2c	§ 2c	§ 2c	NA	NA	NA	NA	NA	NA
11_1685431314	a	2	7	ˀaˀa	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11_1685431314_0	eˀaˀa udobu	das Erbe	the heritage	warisan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	132z11 ; 145z34	132z11 ; 145z34	132z11 ; 145z34	NA	NA	NA	NA	NA	NA
11_1685431384	a	2	8	ˀaˀakəa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11_1685431384_0	kiˀaˀakəa	Schwimmen	swimming (noun)	berenang (kata benda)	kiˀãˀãkõ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Oǃ	Oǃ	Oǃ	NA	NA	NA	aquamotion	NA	NA	NA	NA	NA
11_1685431703	a	2	9	ˀãˀãkõ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ˀãkõ	NA	NA	NA	NA	NA	NA	NA	11_1685431703_0	kiˀãˀãkõ	schwimmen	to swim	berenang	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aquamotion	NA	NA	NA	NA	NA
11_1685431703	a	2	9	ˀãˀãkõ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ˀãkõ	NA	NA	NA	NA	NA	NA	NA	11_1685431703_1	eãˀãkə̃ã	Schwimmplatz ; Schwimmittel	swimming place ; swimming means	tempat berenang ; sarana berenang	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aquamotion	NA	NA	NA	NA	NA
11_1685431703	a	2	9	ˀãˀãkõ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ˀãkõ	NA	NA	NA	NA	NA	NA	NA	11_1685431703_2	kiˀãˀãkṍˀõ:ĩ	auf etwas schwimmen	to swim on something	berenang di atas sesuatu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aquamotion	NA	NA	NA	NA	NA
11_1685431703	a	2	9	ˀãˀãkõ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ˀãkõ	NA	NA	NA	NA	NA	NA	NA	11_1685431703_3	ˀua kiˀãˀãkõˀõ:ĩ ekuo	ich schwimme auf einem Baum(stamm)	I swim/am swimming on a tree(trunk)	Saya berenang/sedang berenang di atas (batang) pohon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cultural activity? aquamotion	NA	NA	NA	NA	NA
11_1685431789	a	2	10	ˀaˀanõ	NA	einige(s), soviele	some , so many	beberapa, begitu banyak	NA	NA	NA	NA	NA	NA	NA	NA	ˀanõ	NA	NA	NA	NA	§ 32c ; 132z37	§ 32c ; 132z37	§ 32c ; 132z37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1685431862	a	2	11	eaba	NA	Grasart	Grass type	Jenis rumput	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	vgl H16 èawaq 'Rhizophore' ; DEC 3188 awak-awak 'Sonneratia acida'	compare H16 èawaq 'Rhizophore' ; DEC 3188 awak-awak 'Sonneratia acida'	bandingkan H16 èawaq 'Rhizophore' ; DEC 3188 awak-awak 'Sonneratia acida'	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1685431896	a	2	12	eˀabaˀa:ua	NA	Rochen	Ray(s)	Sinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1685432004	a	2	13	aba:i kaha:iˀi	NA	(""es kommt [noch] eines"" =) neun	(""there follows [yet] another"") = nine	(""ada yang mengikuti [lagi] yang lain"") = sembilan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	§ 33 ; jedoch MOD alime afa 'nove'	§ 33 ; however MOD alime afa 'nine'	§ 33 ; namun MOD alime afa 'sembilan'	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1685432114	a	2	14	eˀabakoko	NA	Dämon, der kleine Kinder entführt	Demon who kidnaps young children	Iblis yang menculik anak kecil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	106z11ff ; G21	106z11ff ; G21	106z11ff; G21	11_1685432114_0	eˀamakóko	Walddämon	forest demon	setan hutan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cultural knowledge	NA	NA	NA	NA	NA
11_1685497746	a	3	1	abe	NA	wenn, falls	if	jika	ape	NA	NA	NA	ape (DIA)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1685497982	a	3	2	e[ˀ]abeha	NA	Bambus	bamboo	bambu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	H88 abèha ; ML bambu bamban	H88 Abèha ; ML Bambu Bamban	H88 Abèha; ML Bambu Bamban	11_1685497982_0	e[ˀ]abeha eˀadə́ai	Bambusart	bamboo species	spesies bambu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	H88 èadoea ; ML bambu auer	H88 èadoea ; ML bambu auer	H88 èadoea ; ML bambu auer	plant	NA	NA	NA	NA	NA
11_1685497982	a	3	2	e[ˀ]abeha	NA	Bambus	bamboo	bambu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	H88 abèha ; ML bambu bamban	H88 Abèha ; ML Bambu Bamban	H88 Abèha; ML Bambu Bamban	11_1685497982_1	e[ˀ]abeha eõmõhĩ	Bambusart	Bamboo species	spesies bambu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	H88 mohoi ; ML bambu telang	H88 mohoi ; ML bambu telang	H88 mohoi ; ML bambu telang	plant	NA	NA	NA	NA	NA
11_1685497982	a	3	2	e[ˀ]abeha	NA	Bambus	bamboo	bambu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	H88 abèha ; ML bambu bamban	H88 Abèha ; ML Bambu Bamban	H88 Abèha; ML Bambu Bamban	11_1685497982_2	e[ˀ]abeha ebõ	Bambus als Wasserbehälter	bamboo as a water container	bambu sebagai wadah air	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cultural item	NA	NA	NA	NA	NA
11_1685498127	a	3	3	abə́ha	NA	fertig, bereit, beendet, vorbei sein; alleine sein	to be complete , ready , completed , over ; to be alone	menjadi lengkap, siap, selesai, selesai; menyendiri	NA	NA	NA	NA	NA	NA	NA	NA	bə́ha	NA	NA	NA	NA	NA	NA	NA	11_1685498127_0	abə́hadaˀa	lediglich ; schließlich	merely ; finally	hanya ; akhirnya	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1685498127	a	3	3	abə́ha	NA	fertig, bereit, beendet, vorbei sein; alleine sein	to be complete , ready , completed , over ; to be alone	menjadi lengkap, siap, selesai, selesai; menyendiri	NA	NA	NA	NA	NA	NA	NA	NA	bə́ha	NA	NA	NA	NA	NA	NA	NA	11_1685498127_1	kaˀabəha	beendet , fertig sein	finished , be finished	selesai , selesai	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1685498127	a	3	3	abə́ha	NA	fertig, bereit, beendet, vorbei sein; alleine sein	to be complete , ready , completed , over ; to be alone	menjadi lengkap, siap, selesai, selesai; menyendiri	NA	NA	NA	NA	NA	NA	NA	NA	bə́ha	NA	NA	NA	NA	NA	NA	NA	11_1685498127_2	eaˀabəha	(noun) Beendetsein	being-finished/the ending (noun)	yang telah selesai, akhir (kata benda)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1685498175	a	3	4	abia	NA	vorhanden, anwesend sein	to be available , present	tersedia, hadir	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11_1685498175_0	kabia	es gab , war vorhanden	there was , was present	ada , hadir	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	s iya	see iya	lihat iya	NA	NA	NA	NA	NA	NA
11_1685498307	a	3	5	eabiabi	NA	Liane, Rankpflanze	Liana , climbing plant (tendril)	Liana, tanaman panjat (sulur)	ehokarío	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11_1685498307_0	eábiàbi kaˀapaˀápa epũ̀nũ	Orchidee	Orchid	Anggrek	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1685498307	a	3	5	eabiabi	NA	Liane, Rankpflanze	Liana , climbing plant (tendril)	Liana, tanaman panjat (sulur)	ehokarío	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11_1685498307_1	eábiàbi epúko ukòyo	Liane	Vine	Liana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
