ID,stem_id,kms_Alphabet,kms_page,kms_entry_no,stem_form,stem_form_comm_untokenised,stem_homonymID,stem_DE,stem_EN,stem_IDN,stem_formVarian,stem_formVarian_untokenised,stem_formVarian_tokenised,stem_variant_DE,stem_variant_EN,stem_variant_IDN,stem_dialectVariant,stem_etymological_form,stem_etym_form_German,stem_etymological_language_donor,stem_source_form,stem_source_form_homonymID,stem_remark_DE,stem_remark_EN,stem_remark_IDN,stem_crossref_DE,stem_crossref_EN,stem_crossref_IDN,stem_form_comm_tokenised,example_id,example_form,example_form_comm_untokenised,example_form_comm_tokenised,ex_DE,ex_EN,ex_IDN,example_variant,ex_variant_comm_untokenised,ex_variant_comm_tokenised,ex_variant_DE,ex_variant_EN,ex_variant_IDN,example_dialect_variant,example_etymological_form,example_etymological_language_donor,example_loanword_form,example_loanword_language_donor,example_source_form,example_source_form_homonymID,ex_remark_DE,ex_remark_EN,ex_remark_IDN,ex_crossref_DE,ex_crossref_EN,ex_crossref_IDN,ex_concept,ex_variant_concept,ex_remark_concept,ex_crossref_concept,stem_loan_form,stem_loan_lang
10,11_1685430833,a,2,3,-aˀa,-a'a,1,kennzeichnet die komplexe Variation bei Verben,marks the complex variation in verbs,menandai variasi kompleks dalam kata kerja,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"§§ 15k, 37, 55","§§ 15k , 37 , 55","§§ 15k , 37 , 55",- a ' a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,11_1685430954,a,2,4,-aˀa,-a'a,2,"Suffix an Verbalstämmen, das die Aufforderung an die 2.Pl kennzeichnet",Suffix on verbal stems that marks the request to the 2nd Person Plural,Akhiran/sufiks pada kata kerja yang menandai permintaan kepada orang kedua jamak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,§ 15,§ 15,§ 15,- a ' a,11_1685430954_0,enãmĩ kia,enãmĩ kia,e n ã m ĩ # k i a,Schau nach ihm ausǃ,Look out for himǃ (sg),Perhatikan diaǃ (bentuk tunggal),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,11_1685430954,a,2,4,-aˀa,-a'a,2,"Suffix an Verbalstämmen, das die Aufforderung an die 2.Pl kennzeichnet",Suffix on verbal stems that marks the request to the 2nd Person Plural,Akhiran/sufiks pada kata kerja yang menandai permintaan kepada orang kedua jamak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,§ 15,§ 15,§ 15,- a ' a,11_1685430954_1,enãmĩãˀã kia,enãmĩã'ã kia,e n ã m ĩ ã ' ã # k i a,schaut nach ihm ausǃ,Look out for himǃ (pl),Perhatikan diaǃ (bentuk jamak),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,11_1685431014,a,2,5,ˀaˀa,'a'a,1,NA,NA,NA,ˀaˀo ; ˀoˀo,'a'o ; 'o'o,' a ' o # ; # ' o ' o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,' a ' a,11_1685431014_0,kipaˀaˀa,kipa'a'a,k i p a ' a ' a,zeigen,show,menunjukkan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,11_1685431230,a,2,6,ˀaˀa,'a'a,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kaka,NA,PAN (Proto-Austronesian),NA,NA,NA,NA,NA,NA,NA,NA,' a ' a,11_1685431230_0,[e]ˀaˀa,[e]'a'a,[ e ] ' a ' a,"ältere Schwester , älterer Bruder , älteres Halbgeschwister ; Schwager , Schwägerin (Anrede des Ehemanns oder der Ehefrau an den älteren Bruder oder die ältere Schwester des Mannes bzw. der Frau)","elder sister , elder brother , elder half-sibling ; brother-in-law , sister-in-law (husband's or wife's address to the husband's or wife's elder brother or sister).","kakak perempuan, kakak laki-laki, saudara tiri laki-laki, saudara tiri perempuan, ipar laki-laki, ipar perempuan (sapaan suami atau istri kepada kakak laki-laki atau perempuan suami atau istri).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,11_1685431230,a,2,6,ˀaˀa,'a'a,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kaka,NA,PAN (Proto-Austronesian),NA,NA,NA,NA,NA,NA,NA,NA,' a ' a,11_1685431230_1,kahoˀaˀa,kaho'a'a,k a h o ' a ' a,Pl,Plural,bentuk jamak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,§ 2c,§ 2c,§ 2c,NA,NA,NA,NA,NA,NA
14,11_1685431314,a,2,7,ˀaˀa,'a'a,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,' a ' a,11_1685431314_0,eˀaˀa udobu,e'a'a udobu,e ' a ' a # u d o b u,das Erbe,the heritage,warisan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132z11 ; 145z34,132z11 ; 145z34,132z11 ; 145z34,NA,NA,NA,NA,NA,NA
15,11_1685431384,a,2,8,ˀaˀakəa,'a'aku̇a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,' a ' a k u̇ a,11_1685431384_0,kiˀaˀakəa,ki'a'aku̇a,k i ' a ' a k u̇ a,Schwimmen,swimming (noun),berenang (kata benda),kiˀãˀãkõ,ki'ã'ãkõ,k i ' ã ' ã k õ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oǃ,Oǃ,Oǃ,NA,NA,NA,aquamotion,NA,NA,NA,NA,NA
16,11_1685431703,a,2,9,ˀãˀãkõ,'ã'ãkõ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ˀãkõ,NA,NA,NA,NA,NA,NA,NA,' ã ' ã k õ,11_1685431703_0,kiˀãˀãkõ,ki'ã'ãkõ,k i ' ã ' ã k õ,schwimmen,to swim,berenang,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aquamotion,NA,NA,NA,NA,NA
16,11_1685431703,a,2,9,ˀãˀãkõ,'ã'ãkõ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ˀãkõ,NA,NA,NA,NA,NA,NA,NA,' ã ' ã k õ,11_1685431703_1,eãˀãkə̃ã,eã'ãku̇̃ã,e ã ' ã k u̇ ̃ ã,Schwimmplatz ; Schwimmittel,swimming place ; swimming means,tempat berenang ; sarana berenang,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aquamotion,NA,NA,NA,NA,NA
16,11_1685431703,a,2,9,ˀãˀãkõ,'ã'ãkõ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ˀãkõ,NA,NA,NA,NA,NA,NA,NA,' ã ' ã k õ,11_1685431703_2,kiˀãˀãkṍˀõ:ĩ,ki'ã'ãkṍ'õ:ĩ,k i ' ã ' ã k ṍ ' õ:ĩ,auf etwas schwimmen,to swim on something,berenang di atas sesuatu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aquamotion,NA,NA,NA,NA,NA
16,11_1685431703,a,2,9,ˀãˀãkõ,'ã'ãkõ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ˀãkõ,NA,NA,NA,NA,NA,NA,NA,' ã ' ã k õ,11_1685431703_3,ˀua kiˀãˀãkõˀõ:ĩ ekuo,'ua ki'ã'ãkõ'õ:ĩ ekuo,' u a # k i ' ã ' ã k õ ' õ:ĩ # e k u o,ich schwimme auf einem Baum(stamm),I swim/am swimming on a tree(trunk),Saya berenang/sedang berenang di atas (batang) pohon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cultural activity? aquamotion,NA,NA,NA,NA,NA
17,11_1685431789,a,2,10,ˀaˀanõ,'a'anõ,NA,"einige(s), soviele","some , so many","beberapa, begitu banyak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ˀanõ,NA,NA,NA,NA,§ 32c ; 132z37,§ 32c ; 132z37,§ 32c ; 132z37,' a ' a n õ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,11_1685431862,a,2,11,eaba,eaba,NA,Grasart,Grass type,Jenis rumput,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vgl H16 èawaq 'Rhizophore' ; DEC 3188 awak-awak 'Sonneratia acida',compare H16 èawaq 'Rhizophore' ; DEC 3188 awak-awak 'Sonneratia acida',bandingkan H16 èawaq 'Rhizophore' ; DEC 3188 awak-awak 'Sonneratia acida',e a b a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,11_1685431896,a,2,12,eˀabaˀa:ua,e'aba'a:ua,NA,Rochen,Ray(s),Sinar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,e ' a b a ' a:u a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,11_1685432004,a,2,13,aba:i kaha:iˀi,aba:i kaha:i'i,NA,"(""es kommt [noch] eines"" =) neun","(""there follows [yet] another"") = nine","(""ada yang mengikuti [lagi] yang lain"") = sembilan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,§ 33 ; jedoch MOD alime afa 'nove',§ 33 ; however MOD alime afa 'nine',§ 33 ; namun MOD alime afa 'sembilan',a b a:i # k a h a:i ' i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
