stem_id	example_id	example_form	ex_DE	ex_EN	ex_IDN	example_variant	ex_variant_DE	ex_variant_EN	ex_variant_IDN	example_dialect_variant	example_etymological_form	example_etymological_language_donor	example_loanword_form	example_loanword_language_donor	example_source_form	example_source_form_homonymID	ex_remark_DE	ex_remark_EN	ex_remark_IDN	ex_crossref_DE	ex_crossref_EN	ex_crossref_IDN	ex_concept	ex_variant_concept	ex_remark_concept	ex_crossref_concept
10_1683776956	10_1683776956_5	ekodoho	(noun) zu Schluckende	(things) to be swallowed (noun)	(benda) yang ditelan (kata benda)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1683776956	10_1683776956_6	ekodəa	(noun) Schlucken , Verschluckensort	swallowing (noun) , place of swallowing	(proses) menelan/penelanan , tempat menelan	eadədəa; ekədəa; ekərəa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1683776956	10_1683776956_7	eabadodo	das (Ver)Schlucken	the (swallowing)	penelanan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1683776956	10_1683776956_8	edikodo	(noun) Verschluckte	swallowed (things) (noun)	(benda) yang ditelan (kata benda)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1683777395	10_1683777395_0	kikodóki	sie verwendet als Schurz (trockene Bananenblätter)	she used as an apron (dry banana leaves)	Dia menggunakannya sebagai celemek (daun pisang kering)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G69	G69	G69	cultural item	NA	NA	NA
10_1683777395	10_1683777395_1	eˀokodo	Frauenschurz (aus Glasperlen)	Woman's apron (made of glass beads)	Celemek wanita (terbuat dari manik-manik kaca)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cultural item	NA	NA	NA
10_1683777395	10_1683777395_2	kaˀokodo	solch einen Schurz tragen	to wear such an apron	memakai celemek seperti itu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1683777605	10_1683777605_0	ˀakodu; ˀakoru; ˀakolu	drei	three	tiga	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	§ 33	§ 33	§ 33	NA	NA	NA	NA
10_1683777741	10_1683777741_0	kamũkõˀẽ	sie legt etwas über etwas	she puts something on top of something	dia meletakkan sesuatu di atas sesuatu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1683778683	10_1683778683_0	ekoˀee-ekoˀeˀe	sämtliche Teufel	all devils	semua setan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	§ 2d	§ 2d	§ 2d	NA	NA	NA	NA
10_1683778683	10_1683778683_1	ekoˀeˀe iakapita	Dämon an der Flußmündung	Demon at the mouth of the river	Iblis di muara sungai	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	H88:280 èkowèk ijakafita	H88:280 èkowèk ijakafita	H88:280 èkowèk ijakafita	cultural myth	NA	NA	NA
10_1683778683	10_1683778683_2	ekoˀeˀe ixoo ukue	Walddämon	Forest demon	Setan hutan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cultural myth	NA	NA	NA
10_1683778683	10_1683778683_3	ekoˀeˀe ukaˀudara	Dorfdämon	Village demon	Setan desa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cultural myth	NA	NA	NA
10_1683778683	10_1683778683_4	ekoˀeˀe iˀoki	Dämon an der Küste	demon on the shore	setan di pantai	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cultural myth	NA	NA	NA
10_1683778804	10_1683778804_0	kipakoéhe-koehe	hocken	to crouch	berjongkok	kipakokoéhe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1683778804	10_1683778804_1	epahakokoehea	Hockensort	place of crouching	tempat jongkok	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684029426	10_1684029426_0	kipakõhãˀã:õ	auf etwas stoßen , antreffen	to come across something	menemukan sesuatu	kipakõˀõh[õ]aˀa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684029605	10_1684029605_0	kipakohe	(Männer mit Haumesser oder Speer) tanzen	(men with cleavers or spears) dance	tarian (pria dengan golok atau tombak)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684204920	10_1684204920_0	kikohe	hobeln	to plane	menarah/meratakan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684204920	10_1684204920_1	hoo bukohe	hobelte bereits	already planed	sudah menarah/meratakan	kubohe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684204920	10_1684204920_10	earohe	das Hobeln	the planing	penarahan/perataan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684204920	10_1684204920_2	kikohea	wird hobeln	will plane	akan menarah/meratakan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684204920	10_1684204920_3	kidikohe	wird gehobelt	is/will be planed	sedang/akan ditarah/diratakan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684204920	10_1684204920_4	kadohe u-	etwas hobeln	to plane something	menarah/meratakan sesuatu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684204920	10_1684204920_5	kikohéaˀa	etwas mit etwas hobeln	to plane something with something	menarah/meratakan sesuatu dengan sesuatu (alat)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684204920	10_1684204920_6	eokohe	Hobel	Plane	penarahan/perataan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	130z26: eokohoe	130z26: eokohoe	130z26: eokohoe	NA	NA	NA	NA
10_1684204920	10_1684204920_7	edikohe	(noun) Gehobelte	(thing) planed (noun)	(benda) yang ditarah/diratakan (kata benda)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684204920	10_1684204920_8	edikohéaˀa	das , womit gehobelt wird	that with which is planed	(benda) itu, yang digunakan untuk menarah/meratakan (alat menarah/meratakan)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684204920	10_1684204920_9	eadohea	Hobelnsort	place of planing	tempat menarah/meratakan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684205147	10_1684205147_0	ˀua kikohéa	ich gleite ab/aus (wie der ekãmãã-Fisch)	I slide off (like the ekãmãã fish)	Saya meluncur (seperti ikan ekãmãã)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G56	G56	G56	NA	NA	NA	NA
10_1684206125	10_1684206125_0	kikõhẽãˀã́ho:i	beschützen	to protect	melindungi	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	Nǃ??	Nǃ??	Nǃ??	NA	NA	NA	NA	NA	NA	NA
10_1684206125	10_1684206125_1	kikõhẽãˀáho:i ˀua iˀioo ukohéaˀa	ich schütze mich mit einem Windschirm	I protect myself with a windscreen	Saya melindungi diri saya dengan pelindung (dari) angin	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684206125	10_1684206125_2	kidikoheaˀáho:i	beschützt werden	to be protected	dilindungi	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684206125	10_1684206125_3	edikoheaˀaho:i	(noun) Beschützte	protected (people/things) (noun)	(orang/benda) yang dilindungi	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684206269	10_1684206269_0	ekehe pakoheda	ein pakoheda - Beil (das man angeblich bei Chinesen eingetauscht hat)	a pakoheda hatchet (said to have been traded with the Chinese)	kapak pakoheda (konon telah diperdagangkan dengan orang Cina)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cultural item	NA	NA	NA
10_1684208544	10_1684208544_0	ekõhõ	(noun) Schwarze , Dunkle , Schmutz	Black , dark , dirt (noun)	Hitam , gelap , kotoran (kata benda)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684208544	10_1684208544_1	ekõhõ uˀobi	Holzkohle	Charcoal	Arang	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684208544	10_1684208544_2	eaˀakõhõ	Schwärze	Blackness	Kegelapan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684208544	10_1684208544_3	kaˀakõhõ	dunkel , schwarz	dark black	gelap, hitam	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684208788	10_1684208788_0	epakohoo ubee	das gemeinsame Saugen der Muttermilch = Verwandtsein	suckling mother's milk together = kinship	menyusui ASI bersama = kekerabatan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G9	G9	G9	NA	NA	NA	NA
10_1684209771	10_1684209771_0	kadodohodi ekaraha	mein (?) Körper schwitzt	my (?) body is sweating	tubuh saya (?) berkeringat	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684209771	10_1684209771_1	ekohodio	das Schwitzen	sweating (noun)	berkeringat (kata benda)	eaˀakohodĩ́o	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684209771	10_1684209771_2	ekohodio iˀióóˀo:u	ich schwitze	I sweat	Aku berkeringat	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684209771	10_1684209771_3	kaˀakohodio	schwitzen , es heiß haben	to sweat , to be hot	berkeringat , menjadi panas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684209771	10_1684209771_4	kipakohodíoho:i	schwitzen machen , schwitzen lassen	to make (someone/something) sweat	membuat (seseorang/sesuatu) berkeringat	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684209771	10_1684209771_5	kipakohodíoho:i eheda ukəha	das Fleisch der Seeschildkröte läßt schwitzen	The meat of the sea turtle lets you sweat	Daging penyu membuat Anda berkeringat	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684209771	10_1684209771_6	epakohodíoho:i	das Schwitzenlassen	making (someone/something) sweat (noun)	(proses) membuat (seseorang/sesuatu) berkeringat (kata benda)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684210176	10_1684210176_0	kikoho:i	etwas schlürfen	to slurp something	menyeruput sesuatu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684210176	10_1684210176_1	epakoho:i	das Schlürfen	the slurping	(proses) menyeruput	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684210646	10_1684210646_0	kipakõhõĩ	zusammensetzen , -fügen , -binden	to put together , join together , bind together	menyatukan , bergabung bersama , mengikat bersama	kipakõhõˀĩãˀã	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684210646	10_1684210646_1	epakõhõĩyã	Verbindungsstelle (Knoten)	junction (knot)	persimpangan (simpul)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684211112	10_1684211112_0	kikohopái	auf den Schoß nehmen	to take on one's lap	berpangku (di pangkuan) seseorang	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684211112	10_1684211112_1	hoo bukohopai	nahm bereits auf den Schoß	already took on his lap	sudah berpangku	hopai	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684211112	10_1684211112_2	edikohopai	(noun) auf den Schoß Genommene	(things) taken on the lap	(benda-benda) yang dipangku	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684216575	10_1684216575_0	kakõhõpĩõ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pl	Plural	Jamak	NA	NA	NA	NA	NA	NA	NA
10_1684216575	10_1684216575_1	kaˀakõhõpĩõ	einen Enkel haben	to have a grandson	memiliki seorang cucu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684216575	10_1684216575_2	ki kipakõhõpĩõ	sie , die Enkel	them , the grandchildren	mereka, cucu-cucu(nya)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	90z2	90z2	90z2	NA	NA	NA	NA
10_1684234186	10_1684234186_0	eokoi	das Gehen	the walking	(proses) berjalan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684234186	10_1684234186_1	eokoiya	(Gehensort =) Weg	(walking place =) path	tempat berjalan (jalur)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684234186	10_1684234186_2	kipokoiyáˀa	jmd gehen lassen	to let someone go	membiarkan seseorang pergi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	s koi²	see koi²	lihat koi²	NA	NA	NA	NA
10_1684234186	10_1684234186_3	ˀua kipahakoiyaˀa ubeo eˀana	ich lasse jenen Hund gehen	I let that dog go	Aku membiarkan anjing itu pergi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684234186	10_1684234186_4	kipahakoiya?a:əa uici	etwas mitteilen	to tell something	menceritakan sesuatu	kipakokoi eici	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684234902	10_1684234902_0	kipahakoiyaˀa u-	etwas loslassen	to let something go	membiarkan sesuatu pergi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	s koi¹	see koi¹	lihat koi¹	NA	NA	NA	NA
10_1684234902	10_1684234902_1	epahakoiyaˀa	das Loslassen	the letting go	(proses) membiarkan (sesuatu) pergi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684235054	10_1684235054_0	kipahakoi u-	etwas befolgen	to follow something	mengikuti sesuatu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684235366	10_1684235366_0	kikoi	etwas spalten , auseinanderbrechen , spleißen	to split , to break apart , to splice	membelah , memecah , menyambung	kadoi, karoi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684235366	10_1684235366_1	earoiya	Spaltensort	place of splitting	tempat pemisahan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cultural item	NA	NA	NA
10_1684235366	10_1684235366_2	eokoi	Pfahl mit Eisenspitze zum Spalten von Kokosnüssen	Iron-tipped stake for splitting coconuts	Tongkat berujung besi untuk membelah kelapa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cultural item	NA	NA	NA
10_1684235502	10_1684235502_0	kabaˀakoi	Knollen haben	to have tubers	memiliki umbi-umbian	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cultural item	NA	NA	NA
10_1684236203	10_1684236203_0	eokoka	Fußbodenbretter	Floor boards	Papan lantai	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	NA	NA	cultural item	NA	NA	NA
10_1684236203	10_1684236203_1	eokoka uubada	Fußbodenbretter ihrer Häuser (= Erbstücke)	Floor boards of their houses (= heirlooms)	Papan lantai rumah mereka (= pusaka)	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	131z15	131z15	131z15	cultural item	NA	NA	NA
10_1684236591	10_1684236591_0	kipaˀakokiˀi	knirschen	to crunch/grind	mengunyah / menggiling	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684236591	10_1684236591_1	kipakokiˀíaˀa	mit etwas knirschen	to crunch/grind (with) something	meremukkan/menggiling (dengan) sesuatu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684236591	10_1684236591_2	eaˀakokĩ́ˀĩ	das Knarren	the creaking	bunyi berderit	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nǃ	Nǃ	Nǃ	G6	G6	G6	NA	NA	NA	NA
10_1684236591	10_1684236591_3	ekokĩˀĩ́ya udodòho	Knarrensort des Geländers	Creaking location of the railing	Lokasi pagar yang berderit	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684236954	10_1684236954_0	ekoko	weibliche Brust , Euter	Female breast , udder	Payudara wanita , ambing	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	134z6?	134z6?	134z6?	body-part	NA	NA	NA
10_1684236954	10_1684236954_1	kikoko	saugen	to suck	menghisap	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	body-part-activity	NA	NA	NA
10_1684236954	10_1684236954_2	kikokoi	an etwas saugen	to suck on something	menghisap sesuatu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	body-part-activity	NA	NA	NA
10_1684236954	10_1684236954_3	kipakoko	säugen	to suckle	menyusui	kipahakoko	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	body-part-activity	NA	NA	NA
10_1684236954	10_1684236954_4	pokoko	sehr große Brüste haben	to have very big breasts	memiliki payudara yang sangat besar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	§ 64b	§ 64b	§ 64b	body-part-activity	NA	NA	NA
10_1684236954	10_1684236954_5	eokoko	das Saugen	the sucking	(proses) menghisap	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	body-part-activity	NA	NA	NA
10_1684236954	10_1684236954_6	ekokóho	(noun) zu Saugende	(things) to be sucked (noun)	(benda) yang dihisap (kata benda)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	body-part-activity	NA	NA	NA
10_1684236954	10_1684236954_7	edikokói	das , woran man saugt	what you suck on	apa yang kau hisap	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	body-part-activity	NA	NA	NA
10_1684237070	10_1684237070_0	kuboko	begrenzt	limited	terbatas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684237178	10_1684237178_0	eokoko	Schlaginstrument , -werkzeug	Percussion instrument , tool	Instrumen perkusi , alat	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cultural item	NA	NA	NA
10_1684290713	10_1684290713_0	kaˀikoko	rot	red	merah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	colour	NA	NA	NA
10_1684290713	10_1684290713_1	kaˀikoko kikehə́ˀoa	braun , dunkelrot	brown , dark red	coklat , merah tua	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	colour	NA	NA	NA
10_1684290713	10_1684290713_2	ˀua kikixo iˀioo uˀobi yaˀikoko	ich erhitze (es) im Feuer , damit/bis es rot ist	I heat (it) in the fire , so/until it is red	Saya memanaskannya di dalam api , jadi / sampai berwarna merah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684290796	10_1684290796_0	kikokóaˀa:i	rufen	to call	menelepon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684290988	10_1684290988_0	eabapakokodíoho:i	das Schwitzenmachen	the making sweat (noun)	yang membuat berkeringat (kata benda)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10_1684291251	10_1684291251_0	kipakokoéhe	sich hocken (beim Sitzen) , hocken	to crouch (while sitting) , crouch	berjongkok (sambil duduk) , berjongkok	kipakoéhe-koehe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	motion	NA	NA	NA
10_1684291251	10_1684291251_1	ˀua kipakokoéhe ˀua	ich hocke mich hin	I crouch	Aku berjongkok	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	motion	NA	NA	NA
10_1684291251	10_1684291251_2	epahakokoehea	Hockensort	place of squatting	tempat jongkok	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	motion	NA	NA	NA
10_1684292624	10_1684292624_0	kikokoi	(herum)gehen	to walk/go around	berjalan/berkeliling	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	motion	NA	NA	NA
