ID,stem_id,kms_Alphabet,kms_page,kms_entry_no,stem_form,stem_form_comm_untokenised,stem_homonymID,stem_DE,stem_EN,stem_IDN,stem_formVarian,stem_formVarian_untokenised,stem_formVarian_tokenised,stem_variant_DE,stem_variant_EN,stem_variant_IDN,stem_dialectVariant,stem_etymological_form,stem_etym_form_German,stem_etymological_language_donor,stem_loanword_form,stem_loanword_language_donor,stem_source_form,stem_source_form_homonymID,stem_remark_DE,stem_remark_EN,stem_remark_IDN,stem_crossref_DE,stem_crossref_EN,stem_crossref_IDN,stem_form_comm_tokenised
17,11_1685431789,a,2,10,ˀaˀanõ,'a'anõ,NA,"einige(s), soviele","some , so many","beberapa, begitu banyak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,ˀanõ,NA,NA,NA,NA,§ 32c ; 132z37,§ 32c ; 132z37,§ 32c ; 132z37,' a ' a n õ
18,11_1685431862,a,2,11,eaba,eaba,NA,Grasart,Grass type,Jenis rumput,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,vgl H16 èawaq 'Rhizophore' ; DEC 3188 awak-awak 'Sonneratia acida',compare H16 èawaq 'Rhizophore' ; DEC 3188 awak-awak 'Sonneratia acida',bandingkan H16 èawaq 'Rhizophore' ; DEC 3188 awak-awak 'Sonneratia acida',e a b a
19,11_1685431896,a,2,12,eˀabaˀa:ua,e'aba'a:ua,NA,Rochen,Ray(s),Sinar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,e ' a b a ' a:u a
20,11_1685432004,a,2,13,aba:i kaha:iˀi,aba:i kaha:i'i,NA,"(""es kommt [noch] eines"" =) neun","(""there follows [yet] another"") = nine","(""ada yang mengikuti [lagi] yang lain"") = sembilan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,§ 33 ; jedoch MOD alime afa 'nove',§ 33 ; however MOD alime afa 'nine',§ 33 ; namun MOD alime afa 'sembilan',a b a:i # k a h a:i ' i
21,11_1685432114,a,2,14,eˀabakoko,e'abakoko,NA,"Dämon, der kleine Kinder entführt",Demon who kidnaps young children,Iblis yang menculik anak kecil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,106z11ff ; G21,106z11ff ; G21,106z11ff; G21,e ' a b a k o k o
22,11_1685497746,a,3,1,abe,abe,NA,"wenn, falls",if,jika,ape,ape,a p e,NA,NA,NA,ape (DIA),NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,a b e
23,11_1685497982,a,3,2,e[ˀ]abeha,e[']abeha,NA,Bambus,bamboo,bambu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,H88 abèha ; ML bambu bamban,H88 Abèha ; ML Bambu Bamban,H88 Abèha; ML Bambu Bamban,e [ ' ] a b e h a
24,11_1685498127,a,3,3,abə́ha,abu̇́ha,NA,"fertig, bereit, beendet, vorbei sein; alleine sein","to be complete , ready , completed , over ; to be alone","menjadi lengkap, siap, selesai, selesai; menyendiri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,bə́ha,NA,NA,NA,NA,NA,NA,NA,a b u̇ ́ h a
25,11_1685498175,a,3,4,abia,abia,NA,"vorhanden, anwesend sein","to be available , present","tersedia, hadir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,a b i a
26,11_1685498307,a,3,5,eabiabi,eabiabi,NA,"Liane, Rankpflanze","Liana , climbing plant (tendril)","Liana, tanaman panjat (sulur)",ehokarío,ehokarío,e h o k a r í o,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,e a b i a b i
27,11_1685498345,a,3,6,eabixu,eabixu,NA,Baumart,Tree species,Spesies pohon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,ML lapis,Ml lapis,Ml lapis,e a b i x u
28,11_1685498402,a,3,7,eabo,eabo,NA,Schwimmhölzchen am Wurfnetz,Floating sticks attached to the throw net,Tongkat apung yang terpasang pada jaring lempar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,e a b o
29,11_1685498469,a,3,8,eˀabóˀo:i,e'abó'o:i,NA,Bananenart,type of banana,jenis pisang,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,ML pisang tanduk ; ML pisang tandok,ML pisang tanduk ; ML pisang tandok,ML pisang tanduk; ML pisang tandok,H88 èabo,H88 èabo,H88 èabo,e ' a b ó ' o:i
30,11_1685498537,a,3,9,abu·hui,abu·hui,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,a b u · h u i
31,11_1685498603,a,3,10,eabúa,eabúa,NA,halbalter Garten,semi-old garden,taman semi-tua,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,H88 èaboewe 'jong kreupelbosch',H88 èaboewe 'young coppice',H88 èaboewe 'semak muda',e a b ú a
32,11_1685498655,a,3,11,abuai,abuai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,s buai,see buai,lihat buai,a b u a i
33,11_1685498970,a,3,12,abue,abue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,a b u e
34,11_1685499169,a,4,1,ˀabuki,'abuki,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,' a b u k i
35,11_1685499427,a,4,2,eada,eada,NA,Kind,child,anak,eara,eara,e a r a,NA,NA,NA,NA,anak,NA,47,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,e a d a
36,11_1685499498,a,4,3,ádaˀa,áda'a,NA,so groß wie,as big as,sebesar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,á d a ' a
37,11_1685499544,a,4,4,eadada:əˀa,eadada:u̇'a,NA,Farn,fern,pakis,earada:əˀa,earada:u̇'a,e a r a d a:u̇ ' a,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,e a d a d a:u̇ ' a
38,11_1685499594,a,4,5,eˀadeˀade,e'ade'ade,NA,Heuschreckenart,Grasshopper species,Spesies belalang,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,H88 aré aré 'Grille',H88 aré aré 'cricket',H88 aré aré 'jangkrik',e ' a d e ' a d e
39,11_1685499651,a,4,6,adeo,adeo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,a d e o
40,11_1685499674,a,4,7,eadepa,eadepa,NA,Vogelart,Bird species,Spesies burung,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,G4,G4,G4,e a d e p a
41,11_1685499761,a,4,8,eˀadəái,e'adu̇ái,NA,Bambusart,Bamboo type,Jenis bambu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,ML bambu auer,ML bambu auer,ML bambu auer,H88 èadoea,H88 èadoea,H88 èadoea,e ' a d u̇ á i
42,11_1685499909,a,4,9,adəda,adu̇da,NA,NA,NA,NA,ododa,ododa,o d o d a,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,a d u̇ d a
43,11_1685499983,a,4,10,adə́ha[pe],adu̇́ha[pe],NA,wie beschaffen?,How?,Bagaimana?,adoo,adoo,a d o o,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,a d u̇ ́ h a [ p e ]
44,11_1685500220,a,4,11,adi,adi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,a d i
45,11_1685500363,a,5,1,ˀadiba,'adiba,NA,fünf,five,lima,ˀariba ; ˀaliba ; ˀalibe,'ariba ; 'aliba ; 'alibe,' a r i b a # ; # ' a l i b a # ; # ' a l i b e,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,diba,NA,NA,NA,NA,NA,NA,NA,' a d i b a
46,11_1685500387,a,5,2,eadipo,eadipo,NA,Baumart,Tree species,Spesies pohon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,G3,G3,G3,e a d i p o
47,11_1685500516,a,5,3,adiu,adiu,NA,"ihr, euch (2.Pl)","You (nom) , You (dat , acc)","Anda (nominatif) , Anda (datif , akusatif)",adúú ; ariu ; arúú ; aliu,adúú ; ariu ; arúú ; aliu,a d ú ú # ; # a r i u # ; # a r ú ú # ; # a l i u,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,a d i u
48,11_1685500735,a,5,4,ado,ado,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,a d o
49,11_1685500803,a,5,5,adoo,adoo,NA,"wieso?, als ob",why? as if,mengapa? seolah-olah,adə́hape,adu̇́hape,a d u̇ ́ h a p e,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,"§ 15d ; s doo, adoho","§ 15d ; see doo , adoho","§ 15d; lihat doo , adoho",a d o o
50,11_1685500921,a,5,6,ˀado,'ado,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,' a d o
51,11_1685500972,a,5,7,Adoha:eˀekoa,Adoha:e'ekoa,NA,Frauenname,Female name,Nama perempuan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,VIz6,VIz6,VIz6,A d o h a:e ' e k o a
52,11_1685501040,a,5,8,[ˀ]adoho,[']adoho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,[ ' ] a d o h o
53,11_1685501080,a,5,9,eadóua,eadóua,NA,Fruchtstiel,fruit stalk,tangkai buah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,G72,G72,G72,e a d ó u a
54,11_1685501112,a,5,10,aduu,aduu,NA,NA,NA,NA,adiu ; aruu,adiu ; aruu,a d i u # ; # a r u u,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,a d u u
55,11_1685501206,a,5,11,ˀadua,'adua,NA,zwei,two,dua,ˀarua ; ˀalua,'arua ; 'alua,' a r u a # ; # ' a l u a,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,dua,NA,NA,NA,NA,NA,NA,NA,' a d u a
56,11_1685501234,a,5,12,Adudui,Adudui,NA,Männername,Male name,Nama laki-laki,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,VIz1,VIz1,VIz1,A d u d u i
57,11_1685501301,a,5,13,aduhe,aduhe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,a d u h e
58,11_1685501343,a,5,14,eˀaduku,e'aduku,NA,"Lichtung im Wald, Grasfläche","Clearing in the forest , grassy area","Pembukaan lahan di hutan, area berumput",eˀaruku,e'aruku,e ' a r u k u,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,e ' a d u k u
59,9_1685498445,a,6,1,eae,eae,1,"Fuß, Pfote; Unterkörper; auch: Fuß(dorn) eines Schildes zum Einstemmen in die Erde","Foot , paw ; Lower body ; also Foot (thorn) of a shield for hammering into the ground","Kaki, cakar; Tubuh bagian bawah; juga Kaki (duri) perisai untuk menancapkan ke tanah",eiˀo,ei'o,e i ' o,NA,NA,NA,NA,qaqay (PAN) ; ahe (Nias),NA,52,NULL,NULL,NA,NA,NA,NA,NA,vgl kahae 'gehen',compare kahae 'go',bandingkan kahae 'pergi',e a e
60,9_1685498553,a,6,2,ae,ae,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,a e
61,9_1685498686,a,6,3,eáea,eáea,NA,Mündung eines Flusses,mouth/estuary of a river,muara/ muara sungai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,Si ai,Si ai,Si ai,NA,NA,NA,e á e a
62,9_1685499054,a,6,4,aha,aha,NA,NA,NA,NA,aha:e,aha:e,a h a:e,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,selten,rarely,jarang,NA,NA,NA,a h a
63,9_1685499125,a,6,5,ahaa,ahaa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,a h a a
64,9_1685499569,a,6,6,aha:e,aha:e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,a h a:e
65,9_1685499642,a,6,7,eahá:éda,eahá:eda,NA,Korallen-Brücke,Coral bridge,Jembatan karang,eaheida,eaheida,e a h e i d a,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,G71,G71,G71,e a h á:e d a
66,9_1685499677,a,6,8,ahãhõ,ahãhõ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,s hãhõ,see hãhõ,lihat hãhõ,a h ã h õ
67,9_1685499785,a,6,9,ahãĩ,ahãĩ,NA,"wer auch immer, irgendjemand, jeder (Sg)","whoever , someone , everyone (singular)","siapa pun , seseorang , semua orang (bentuk tunggal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,hãĩ,NA,NA,NA,NA,NA,NA,NA,a h ã ĩ
68,9_1685500094,a,7,1,ãhã:ĩ,ãhã:ĩ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,ã h ã:ĩ
69,9_1685500195,a,7,2,eˀahã́ĩ,e'ahã́ĩ,NA,grüner Papagei,green parrot,burung beo hijau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,Oǃ,Oral!,Oral!,G67: eˀaháe,G67: eˀaháe,G67: eˀaháe,e ' a h ã ́ ĩ
70,9_1685500349,a,7,3,eaha:iˀ[i]éda,eaha:i'[i]eda,NA,"Mensch, Leute","Man , people","Manusia, orang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,arch ; jetzt: ekaka,archaic ; now:ekaka,bentuk arkais; sekarang: ekaka,NA,NA,NA,e a h a:i ' [ i ] e d a
71,9_1685500469,a,7,4,ahao,ahao,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,a h a o
72,9_1685500980,a,7,5,ahaoa,ahaoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,a h a o a
73,9_1685501099,a,7,6,eˀaha:oa ukoyo,e'aha:oa ukoyo,NA,die edlen Teile des Wildschweins,The noble/precious parts of the wild boar,Bagian-bagian yang mulia/berharga dari babi hutan,eˀaha:ua ukoyo,e'aha:ua ukoyo,e ' a h a:u a # u k o y o,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,e ' a h a:o a # u k o y o
74,9_1685501264,a,7,7,ˀahaˀo:i,'aha'o:i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,' a h a ' o:i
75,9_1685501326,a,7,8,eˀaha:ua ukoyo,e'aha:ua ukoyo,NA,die Eingeweide des Schweins,The guts of the pig,Isi perut babi,eˀaha:oa ukoyo,e'aha:oa ukoyo,e ' a h a:o a # u k o y o,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,e ' a h a:u a # u k o y o
76,9_1685501375,a,7,9,ahá:úˀua,ahá:ú'ua,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,a h á:ú ' u a
77,9_1685501814,a,8,1,ahe,ahe,NA,geheǃ,go (sg)!,pergi (bentuk tunggal)!,áha:e,áha:e,á h a:e,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,a h e
78,9_1685501857,a,8,2,eaheida,eaheida,NA,Korallenbrücke,Coral bridge,Jembatan karang,eahá:éda,eahá:eda,e a h á:e d a,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,G71,G71,G71,e a h e i d a
79,9_1685501923,a,8,3,eˀahepeˀa,e'ahepe'a,NA,Name eines ehemaligen (?) Landstriches,Name of a former (?) Region,Nama wilayah sebelumnya (?),Ahipeˀa?,Ahipe'a?,A h i p e ' a ?,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,e ' a h e p e ' a
80,9_1685501984,a,8,4,ahədəhəda,ahu̇du̇hu̇da,NA,nachdem,after,setelah,kadəhəda,kadu̇hu̇da,k a d u̇ h u̇ d a,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,s dəhəda,see dəhəda,lihat dəhəda,a h u̇ d u̇ h u̇ d a
81,9_1685502030,a,8,5,eãhĩ,eãhĩ,NA,jüngeres Geschwister,younger sibling,adik,eãhã:ĩ,eãhã:ĩ,e ã h ã:ĩ,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,e ã h ĩ
82,9_1685502052,a,8,6,ahibi,ahibi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,s hibi,see hibi,lihat hibi,a h i b i
83,9_1685502128,a,8,7,eˀahioba,e'ahioba,NA,Baumart,Tree species,Spesies pohon,eˀioba ?,e'ioba ?,e ' i o b a # ?,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,e ' a h i o b a
84,9_1685502238,a,8,8,Ahipeˀa,Ahipe'a,NA,"Dorf, das früher in der gebirgigen Mitte der Insel Enggano lag. Jetzt zeigt dort nur noch ein einzelner Grabstein das ehemalige Vorhandensein einer Siedlung an",Village that used to be in the mountainous center of the island of Enggano. Now only a single tombstone indicates the former existence of a settlement,Desa yang dulunya berada di pusat pegunungan pulau Enggano. Sekarang hanya ada satu batu nisan yang menandakan keberadaan sebuah pemukiman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,G2 ; vgl eˀahepeˀa,G2 ; compare eˀahepeˀa,G2 ; bandingkan eˀahepeˀa,A h i p e ' a
85,9_1685502277,a,8,9,ahoo,ahoo,NA,nachdem,after,setelah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,§ 23b,§ 23b,§ 23b,a h o o
86,9_1685502394,a,8,10,ahoa,ahoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,a h o a
87,9_1685502420,a,8,11,Ahoali,Ahoali,NA,Männername,Male name,Nama laki-laki,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,A h o a l i
88,9_1685502470,a,8,12,eahoi,eahoi,NA,Asche,ash,abu,eahaoi,eahaoi,e a h a o i,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,"109z21: ""Küche""","109z21: ""kitchen""","109z21: ""dapur""",e a h o i
89,9_1685502531,a,8,13,Ahokaha,Ahokaha,NA,Ort auf Enggano,Place on Enggano,Nama tempat di Enggano,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,A h o k a h a
90,9_1685502589,a,8,14,ahopa,ahopa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,a h o p a
91,9_1685502616,a,8,15,ahuea,ahuea,NA,glatt sein,to be smooth,menjadi halus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,a h u e a
92,9_1685502646,a,8,16,ai,ai,1,ohǃ,ohǃ,ohǃ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,a i
93,9_1685502983,a,8,17,ai,ai,2,kommǃ,come! (sg),datang! (bentuk tunggal),ei,ei,e i,NA,NA,NA,ei (DIA),um-aRi ?,NA,10,NULL,NULL,NA,NA,NA,NA,NA,s yai,see yai,lihat yai,a i
94,9_1685503112,a,9,1,ˀai,'ai,NA,"wir, uns (ex)","We (nom) , us (exclusive) (acc , dat)","Kami (nominatif) , kami (eksklusif) (akusatif , datif)",NA,NA,NA,NA,NA,NA,NA,kami (PAN) ; kai (SMtw),NA,53,NULL,NULL,NA,NA,NA,NA,NA,"§§ 4,14,151","§§ 4 ,14 ,151","§§ 4 ,14 ,151",' a i
