example_id	stem_id	example_form	example_GermanTranslation	example_variant	example_GermanTranslationVariant	example_etymological_form	example_etymological_language_donor	example_loanword_form	example_loanword_language_donor	example_source_form	example_source_form_homonymID	example_crossref	example_remark	example_complete	example_dialect_variant	create_by	create_date	update_by	update_date
10_1684204920_2	10_1684204920	kikohea	wird hobeln	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 02:42:00	NULL	NULL
10_1684204920_3	10_1684204920	kidikohe	wird gehobelt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 02:42:00	NULL	NULL
10_1684204920_4	10_1684204920	kadohe u-	etwas hobeln	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 02:42:00	NULL	NULL
10_1684204920_5	10_1684204920	kikohéaʔa	etwas mit etwas hobeln	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 02:42:00	NULL	NULL
10_1684204920_6	10_1684204920	eokohe	Hobel	NA	NA	NA	NA	NA	NA	NA	NA	13oz26: eokohoe	NA	y	NA	10	2023-05-16 02:42:00	NULL	NULL
10_1684204920_7	10_1684204920	edikohe	d Gehobelte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 02:42:00	NULL	NULL
10_1684204920_8	10_1684204920	edikohéaʔa	das, womit gehobelt wird	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 02:42:00	NULL	NULL
10_1684204920_9	10_1684204920	eadohea	Hobelnsort	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 02:42:00	NULL	NULL
10_1684205147_0	10_1684205147	ʔua kikohéa	ich gleite ab/aus (wie der ekãmãã-Fisch)	NA	NA	NA	NA	NA	NA	NA	NA	G56	NA	y	NA	10	2023-05-16 02:45:47	NULL	NULL
10_1684206125_0	10_1684206125	kikõhẽãʔã́ho:i	beschützen	NA	NA	NA	""""	NA	""""	NA	NA	NA	Nǃ??	NA	NA	10	2023-05-16 03:43:49	NULL	NULL
10_1684206125_1	10_1684206125	kikõhẽãʔáho:i ʔua iʔioo ukohéaʔa	ich schütze mich mit einem Windschirm	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	10	2023-05-16 03:43:49	NULL	NULL
10_1684206125_2	10_1684206125	kidikoheaʔáho:i	beschützt werden	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	10	2023-05-16 03:43:49	NULL	NULL
10_1684206125_3	10_1684206125	edikoheaʔaho:i	d Beschützte	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	10	2023-05-16 03:43:49	NULL	NULL
10_1684206269_0	10_1684206269	ekehe pakoheda	ein pakoheda- Beil (das man angeblich bei Chinesen eingetauscht hat	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 03:04:29	NULL	NULL
10_1684208544_0	10_1684208544	ekõhõ	d Schwarze, Dunkle, Schmutz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 03:42:24	NULL	NULL
10_1684208544_1	10_1684208544	ekõhõ uʔobi	Holzkohle	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 03:42:24	NULL	NULL
10_1684208544_2	10_1684208544	eaʔakõhõ	Schwärze	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 03:42:24	NULL	NULL
10_1684208544_3	10_1684208544	kaʔakõhõ	dunkel, schwarz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 03:42:24	NULL	NULL
10_1684208788_0	10_1684208788	epakohoo ubee	das gemeinsame Saugen der Muttermilch = Verwandtsein	NA	NA	NA	NA	NA	NA	NA	NA	G9	NA	y	NA	10	2023-05-16 03:46:28	NULL	NULL
10_1684209771_0	10_1684209771	kadodohodi ekaraha	mein (?) Körper schwitzt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 04:02:51	NULL	NULL
10_1684209771_1	10_1684209771	ekohodio	das Schwitzen	eaʔakohodĩ́o	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 04:02:51	NULL	NULL
10_1684209771_2	10_1684209771	ekohodio iʔióóʔo:u	ich schwitze	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 04:02:51	NULL	NULL
10_1684209771_3	10_1684209771	kaʔakohodio	schwitzen, es heiß haben	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 04:02:51	NULL	NULL
10_1684209771_4	10_1684209771	kipakohodíoho:i	schwitzen machen, schwitzen lassen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 04:02:51	NULL	NULL
10_1684209771_5	10_1684209771	kipakohodíoho:i eheda ukəha	das Fleisch der Seeschildkröte läßt schwitzen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 04:02:51	NULL	NULL
10_1684209771_6	10_1684209771	epakohodíoho:i	das Schwitzenlassen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 04:02:51	NULL	NULL
10_1684210176_0	10_1684210176	kikoho:i	etwas schlürfen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 04:09:36	NULL	NULL
10_1684210176_1	10_1684210176	epakoho:i	das Schlürfen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 04:09:36	NULL	NULL
10_1684210646_0	10_1684210646	kipakõhõĩ	zusammensetzen, -fügen, -binden	kipakõhõʔĩãʔã	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 04:17:26	NULL	NULL
10_1684210646_1	10_1684210646	epakõhõĩyã	Verbindungsstelle (Knoten)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 04:17:26	NULL	NULL
10_1684211112_0	10_1684211112	kikohopái	auf den Schoß nehmen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 04:25:12	NULL	NULL
10_1684211112_1	10_1684211112	hoo bukohopai	nahm bereits auf den Schoß	hopai	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 04:25:12	NULL	NULL
10_1684211112_2	10_1684211112	edikohopai	d auf den Schoß Genommene	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 04:25:12	NULL	NULL
10_1684216575_0	10_1684216575	kakõhõpĩõ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pl	y	NA	10	2023-05-16 05:56:15	NULL	NULL
10_1684216575_1	10_1684216575	kaʔakõhõpĩõ	einen Enkel haben	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 05:56:15	NULL	NULL
10_1684216575_2	10_1684216575	ki kipakõhõpĩõ	sie, die Enkel	NA	NA	NA	NA	NA	NA	NA	NA	9oz2	NA	y	NA	10	2023-05-16 05:56:15	NULL	NULL
10_1684234186_0	10_1684234186	eokoi	das Gehen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 10:49:46	NULL	NULL
10_1684234186_1	10_1684234186	eokoiya	(Gehensort =) Weg	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 10:49:46	NULL	NULL
10_1684234186_2	10_1684234186	kipokoiyáʔa	jmd gehen lassen	NA	NA	NA	NA	NA	NA	NA	NA	s koi²	NA	NA	NA	10	2023-05-16 10:49:46	NULL	NULL
10_1684234186_3	10_1684234186	ʔua kipahakoiyaʔa ubeo eʔana	ich lasse jenen Hund gehen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 10:49:46	NULL	NULL
10_1684234186_4	10_1684234186	kipahakoiya?a:əa uici	etwas mitteilen	kipakokoi eici	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 10:49:46	NULL	NULL
10_1684234902_0	10_1684234902	kipahakoiyaʔa u-	etwas loslassen	NA	NA	NA	NA	NA	NA	NA	NA	s koi¹	NA	y	NA	10	2023-05-16 11:01:42	NULL	NULL
10_1684234902_1	10_1684234902	epahakoiyaʔa	das Loslassen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 11:01:42	NULL	NULL
10_1684235054_0	10_1684235054	kipahakoi u-	etwas befolgen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 11:04:14	NULL	NULL
10_1684235366_0	10_1684235366	kikoi	etwas spalten, auseinanderbrechen, spleißen	kadoi, karoi	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 11:09:26	NULL	NULL
10_1684235366_1	10_1684235366	earoiya	Spaltensort	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 11:09:26	NULL	NULL
10_1684235366_2	10_1684235366	eokoi	Pfahl mit Eisenspitze zum Spalten von Kokosnüssen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 11:09:26	NULL	NULL
10_1684235502_0	10_1684235502	kabaʔakoi	Knollen haben	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 11:11:42	NULL	NULL
10_1684236203_0	10_1684236203	eokoka	Fußbodenbretter	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	10	2023-05-16 11:23:42	NULL	NULL
10_1684236203_1	10_1684236203	eokoka uubada	Fußbodenbretter ihrer Häuser (= Erbstücke)	NA	NA	NA	""""	NA	""""	NA	NA	131z15	NA	NA	NA	10	2023-05-16 11:23:42	NULL	NULL
10_1684236591_0	10_1684236591	kipaʔakokiʔi	knirschen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 11:29:51	NULL	NULL
10_1684236591_1	10_1684236591	kipakokiʔíaʔa	mit etwas knirschen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 11:29:51	NULL	NULL
10_1684236591_2	10_1684236591	eaʔakokĩ́ʔĩ	das Knarren	NA	NA	NA	NA	NA	NA	NA	NA	G6	Nǃ	y	NA	10	2023-05-16 11:29:51	NULL	NULL
10_1684236591_3	10_1684236591	ekokĩʔĩ́ya udodòho	Knarrensort des Geländers	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 11:29:51	NULL	NULL
10_1684236954_0	10_1684236954	ekoko	weibliche Brust, Euter	NA	NA	NA	NA	NA	NA	NA	NA	134z6?	NA	y	NA	10	2023-05-16 11:35:54	NULL	NULL
10_1684236954_1	10_1684236954	kikoko	saugen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 11:35:54	NULL	NULL
10_1684236954_2	10_1684236954	kikokoi	an etwas saugen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 11:35:54	NULL	NULL
10_1684236954_3	10_1684236954	kipakoko	säugen	kipahakoko	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 11:35:54	NULL	NULL
10_1684236954_4	10_1684236954	pokoko	sehr große Brüste haben	NA	NA	NA	NA	NA	NA	NA	NA	§ 64b	NA	y	NA	10	2023-05-16 11:35:54	NULL	NULL
10_1684236954_5	10_1684236954	eokoko	das Saugen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 11:35:54	NULL	NULL
10_1684236954_6	10_1684236954	ekokóho	d zu Saugende	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 11:35:54	NULL	NULL
10_1684236954_7	10_1684236954	edikokói	das, woran man saugt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 11:35:54	NULL	NULL
10_1684237070_0	10_1684237070	kuboko	begrenzt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 11:37:50	NULL	NULL
10_1684237178_0	10_1684237178	eokoko	Schlaginstrument, -werkzeug	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-16 11:39:38	NULL	NULL
10_1684290713_0	10_1684290713	kaʔikoko	rot	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-17 02:31:53	NULL	NULL
10_1684290713_1	10_1684290713	kaʔikoko kikehə́ʔoa	braun, dunkelrot	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-17 02:31:53	NULL	NULL
10_1684290713_2	10_1684290713	ʔua kikixo iʔioo uʔobi yaʔikoko	ich erhitze (es) im Feuer, damit/bis es rot ist	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-17 02:31:53	NULL	NULL
10_1684290796_0	10_1684290796	kikokóaʔa:i	rufen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-17 02:33:16	NULL	NULL
10_1684290988_0	10_1684290988	eabapakokodíoho:i	das Schwitzenmachen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-17 02:36:28	NULL	NULL
10_1684291251_0	10_1684291251	kipakokoéhe	sich hocken (beim Sitzen), hocken	kipakoéhe-koehe	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-17 02:40:51	NULL	NULL
10_1684291251_1	10_1684291251	ʔua kipakokoéhe ʔua	ich hocke mich hin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-17 02:40:51	NULL	NULL
10_1684291251_2	10_1684291251	epahakokoehea	Hockensort	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-17 02:40:51	NULL	NULL
10_1684292624_0	10_1684292624	kikokoi	(herum)gehen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-17 03:03:44	NULL	NULL
10_1684292624_1	10_1684292624	hoo bukokoi	ging bereits	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-17 03:03:44	NULL	NULL
10_1684292624_2	10_1684292624	kikokóiya	werde gehen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-17 03:03:44	NULL	NULL
10_1684292624_3	10_1684292624	epahakokoi	das Gehen	eokoi	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-17 03:03:44	NULL	NULL
10_1684292624_4	10_1684292624	kipakokoi	gehen lassen, fragen, übermitteln	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-17 03:03:44	NULL	NULL
10_1684292624_5	10_1684292624	kipakokoi eici	etwas mitteilen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-17 03:03:44	NULL	NULL
10_1684292624_6	10_1684292624	kokoho:i	gehe auf etwas, begehe!	koko:ixi	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-17 03:03:44	NULL	NULL
10_1684292624_7	10_1684292624	keabaʔa bukokoHi	wird nicht begangen	NA	NA	NA	NA	NA	NA	NA	NA	107z17	NA	y	NA	10	2023-05-17 03:03:44	NULL	NULL
10_1684292624_8	10_1684292624	ʔua kipakokói ʔua pakuru	ich Stefe Kopf	NA	NA	NA	NA	NA	NA	NA	NA	G62	NA	y	NA	10	2023-05-17 03:03:44	NULL	NULL
10_1684292684_0	10_1684292684	kikokoi	verfaulen lassen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-17 03:04:44	NULL	NULL
10_1684293021_0	10_1684293021	kikokoiya	müde, faul	kikokoiya eʔaa	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-17 03:10:21	NULL	NULL
10_1684293021_1	10_1684293021	hoo bukokoiya	bereits müde	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-17 03:10:21	NULL	NULL
10_1684293021_2	10_1684293021	eakokoiya uʔaa	Müdigkeit, Trägheit	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-17 03:10:21	NULL	NULL
10_1684293021_3	10_1684293021	be ikokóiya	weil schwach wird	NA	NA	NA	NA	NA	NA	NA	NA	G70	NA	y	NA	10	2023-05-17 03:10:21	NULL	NULL
10_1684293213_0	10_1684293213	kipakokoki	unordentlich herumliegen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-17 03:13:33	NULL	NULL
10_1684293213_1	10_1684293213	edobu eʔana kipakokoki	die Sachen liegen unordentlich herum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-17 03:13:33	NULL	NULL
10_1684293213_2	10_1684293213	kipakokokíaʔa	unordentlich herumliegen lassen, verstreuen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-17 03:13:33	NULL	NULL
10_1684293429_0	10_1684293429	kipakokomĩmĩ	spreizen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-17 03:17:09	NULL	NULL
10_1684294505_0	10_1684294505	kikõkõnã	herauskommen, -gehen, (Gestirne) aufgehen	kakõkõnã	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-17 03:35:05	NULL	NULL
10_1684294505_1	10_1684294505	kikõkõnãhã	wird herauskommen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-17 03:35:05	NULL	NULL
10_1684294505_10	10_1684294505	eakõkõnã́hã uhuìu	Rille/Weg des Holzmehls bei der Feuerzubereitung auf der Holzunterlage	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-17 03:35:05	NULL	NULL
10_1684294505_2	10_1684294505	hoo mũkõkõnã	ist herausgekommen	hoo akõkõnã	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-17 03:35:05	NULL	NULL
10_1684294505_3	10_1684294505	nãmãkõkõnã	sie kommen heraus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-17 03:35:05	NULL	NULL
10_1684294505_4	10_1684294505	kaʔapehe mãkõkõnã	zum ersten Mal herauskommen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-17 03:35:05	NULL	NULL
10_1684294505_5	10_1684294505	kipakõkõnã	herauskommen lassen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-17 03:35:05	NULL	NULL
10_1684294505_6	10_1684294505	kikõkõnã:ĩxĩ	bei/an jmd/etwas vorübergehen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-17 03:35:05	NULL	NULL
10_1684294505_7	10_1684294505	eakõkõnã	das Herauskommen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-17 03:35:05	NULL	NULL
10_1684294505_8	10_1684294505	eakõnãhã	Osten	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-17 03:35:05	NULL	NULL
10_1684294505_9	10_1684294505	eakõkõnãhã uupuyo	Knospe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-17 03:35:05	NULL	NULL
10_1684852282_0	10_1684852282	kikõkõnĩ	herausziehen, etwas entfernen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-23 14:31:22	NULL	NULL
10_1684852282_1	10_1684852282	kanõkõnĩ	herausziehen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-23 14:31:22	NULL	NULL
10_1684852282_2	10_1684852282	hoo mũkõkõnĩ	zog bereits heraus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-23 14:31:22	NULL	NULL
10_1684852282_3	10_1684852282	ʔua kikõkõnĩ edudui ukeʔo	ich ziehe den Rotandorn heraus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-23 14:31:22	NULL	NULL
10_1684852282_4	10_1684852282	enĩkõkõnĩ	d Herausgezogene	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	y	NA	10	2023-05-23 14:31:22	NULL	NULL
