"caid";"modul";"user_id";"dateaccess";"dateacess_end";"ipaddress";"browser";"os"
"id";"kms_Alphabet";"kms_Stem";"kms_stem_homonymID";"kms_stem_remarks_optional";"kms_stem_variant";"kms_stem_dialect_variant";"kms_stem_source_form";"kms_sourceForm_homonymID";"kms_stem_etym_lang";"kms_stem_etym_form";"kms_stem_etym_German";"kms_stem_crossRef";"kms_stem_German";"kms_stem_English";"kms_stem_German_crossRef";"kms_stem_loanword_lang";"kms_stem_loanword_form";"kms_examples";"kms_examples_variant";"kms_examples_German";"kms_examples_German_crossRef";"kms_examples_English";"kms_example_etym_lang";"kms_example_etym_form";"kms_stem_page"
"1";"a";"b";;;;;;;;;;;;;;;;;;;;;;;"0"
"2";"aa";"bb";;;;;;;;;;;;;;;;;;;;;;;"0"
"sw_id";"sw_name"
"1";"AR (Arabic)"
"2";"BAR (Bare`e [Austronesian, Sulawesi])"
"3";"BI (Bahasa Indonesia)"
"4";"Bugi (Buginese [Austronesian, Sulawesi])"
"5";"MKB (Minangkabau [Austronesian, Sumatra])"
"6";"ML (Malay [now BI])"
"7";"Mtw (Mentawai [Austronesian])"
"9";"NL (Dutch)"
"10";"PAN (Proto-Austronesian)"
"11";"PMP (Proto-Malayo-Polynesian)"
"12";"POC (Proto-Oceanic)"
"13";"Sd (Sundanese [Austronesian, Java])"
"14";"Sich (Sichule [Austronesian, Sumatra])"
"15";"Sim (Simalur [Austronesian])"
"16";"SMtw (Sudmentawai [South Mentawai])"
"17";"UAN (Proto-Austronesian)"
"47";"PAN"
"50";"MKB "
"51";"MKB"
"52";"Nias"
"53";"SMtw"
"54";"NJV"
"stem_id";"kms_Alphabet";"kms_page";"kms_entry_no";"stem_form";"stem_GermanTranslation";"stem_homonymID";"stem_formVarian";"stem_GermanTranslationVariant";"stem_dialectVariant";"stem_etymological_form";"stem_etymological_language_donor";"stem_loanword_form";"stem_loanword_language_donor";"stem_source_form";"stem_source_form_homonymID";"stem_crossref";"stem_remark";"stem_complete";"create_by";"cerate_date";"update_by";"update_date";"used_time"
"10_1683777480";"K";"158";"2";"ekodoko";"spanischer Pfeffer";;;;;;;NULL;NULL;;;"Heyne 53/1862 koro-koro Piper nigrum)";;"y";"10";"2023-05-11 03:58:00";NULL;NULL;"00:00:11"
"10_1683777605";"K";"158";"3";"kodu";;;;;;"təlu";"10";NULL;NULL;;;;;"y";"10";"2023-05-11 04:00:05";NULL;NULL;"00:00:49"
"10_1683777741";"K";"158";"4";"kõʔẽ";;;;;;;;NULL;NULL;;;;;"y";"10";"2023-05-11 04:02:21";NULL;NULL;"00:00:57"
"10_1683778683";"K";"158";"5";"ekoʔeʔe";"Teufel, Dämon(in), Gespenst; Fremdling";;"etoʔeʔ";;"etoʔeʔ (DIA)";;;NULL;NULL;;;"S auch K75�?105-122";"MOD�?128 Ecoè essi chiamano questi spiriti e per l'Enganese quel vocabolo vale come forestiere; i Cinesi, i Bughis, i Malesi, io, tutti eravamo ecoè. ...";"y";"10";"2023-05-11 04:18:03";NULL;NULL;"00:00:21"
"10_1683778804";"K";"158";"6";"koe�?he";;;;;;;;NULL;NULL;;;;;"y";"10";"2023-05-11 04:20:04";NULL;NULL;"00:00:49"
"10_1684025477";"K";"158";"7";"ekoʔepãnũ";"Vogelart";;"ekuʔupãnũ";;;"epãnũ 'Nase?'";;NULL;NULL;;;"H88:309 het eiland Kaoefanoe (Pulau Merbau) .. heeft zijn naam te danken aan de vele Kaoefanoes, die aldaar worden aangetroffen.";"ML dundun";"y";"10";"2023-05-14 00:51:17";NULL;NULL;"00:00:42"
"10_1684025596";"K";"158";"8";"ekofifi";"Nachkommen (schaft)";;"ekopipi";;"ekopipi (DIA)";;;NULL;NULL;;;"IIIz31";;"y";"10";"2023-05-14 00:53:16";NULL;NULL;"00:00:50"
"10_1684029426";"K";"158";"9";"kõhã ";;;;;;;;NULL;NULL;;;;;"y";"10";"2023-05-14 01:57:06";NULL;NULL;"00:00:42"
"10_1684029605";"K";"158";"10";"kohe";;"1";;;;;;NULL;NULL;;;;;"y";"10";"2023-05-14 02:00:05";NULL;NULL;"00:00:45"
"10_1684204920";"K";"158";"11";"kohe";;"2";;;;;;NULL;NULL;;;;;"y";"10";"2023-05-16 02:42:00";NULL;NULL;"00:00:06"
"10_1684205147";"K";"159";"1";"kohe�?a";;;;;;;;NULL;NULL;;;;;"y";"10";"2023-05-16 02:45:47";NULL;NULL;"00:00:44"
"10_1684206125";"K";"159";"2";"ekohe�?aʔa";"Hütte, Windschirm";;;;;;;NULL;NULL;;;"H16 kohèaq 'hut', èkohèaq 'zich met bladeren, inz. van dem pandanus, beschutten tegen den regen; regenscherm.'";"MOD 209,211 un ampio capuccio fatto di una stuoia i foglie di pandanus cucite una all'altra. .. questo valido parapioggia consciuto col nome di cohia ..)";;"10";"2023-05-16 03:43:49";"10";NULL;"00:00:08"
"10_1684206269";"K";"159";"3";"koheda";;;;;;;;NULL;NULL;;;;;"y";"10";"2023-05-16 03:04:29";NULL;NULL;"00:00:19"
"10_1684207132";"K";"159";"4";"ekohe�?ka";"Fischart";;;;;;;NULL;NULL;;;"G28";;"y";"10";"2023-05-16 03:18:52";NULL;NULL;"00:00:53"
"10_1684208544";"K";"159";"5";"kõhõ";;;;;;;;NULL;NULL;;;;;"y";"10";"2023-05-16 03:42:24";NULL;NULL;"00:00:47"
"10_1684208788";"K";"159";"6";"kohoo";"schlūrfen, saugen";;;;;;;NULL;NULL;;;"s kohoi";;"y";"10";"2023-05-16 03:46:28";NULL;NULL;"00:00:28"
"10_1684209771";"K";"159";"7";"kohodi";;;"kokodi";;;;;NULL;NULL;;;"vgl doho";;"y";"10";"2023-05-16 04:02:51";NULL;NULL;"00:00:11"
"10_1684209825";"K";"160";"1";"kohoe";;;;;;;;NULL;NULL;"kohe";;;;"y";"10";"2023-05-16 04:03:45";NULL;NULL;"00:00:51"
"10_1684210176";"K";"160";"2";"koho�?i";;"1";"kohoo";;;;;NULL;NULL;;;;;"y";"10";"2023-05-16 04:09:36";NULL;NULL;"00:00:36"
"10_1684210250";"K";"160";"3";"eko�?ho�?i";"Berg, Hügel";"2";;;;;;NULL;NULL;;;;;"y";"10";"2023-05-16 04:10:50";NULL;NULL;"00:00:03"
"10_1684210646";"K";"160";"4";"kõhõ[ʔ]ĩ";;;;;;;;NULL;NULL;;;"s kuhoi";;"y";"10";"2023-05-16 04:17:26";NULL;NULL;"00:00:30"
"10_1684211112";"K";"160";"5";"kohopa�?i";;;"hopai";;;;;NULL;NULL;;;;;"y";"10";"2023-05-16 04:25:12";NULL;NULL;"00:00:43"
"10_1684216575";"K";"160";"6";"ekõhõpĩõ";"Enkel";;;;;;;NULL;NULL;;;;;"y";"10";"2023-05-16 05:56:15";NULL;NULL;"00:00:08"
"10_1684234186";"K";"160";"7";"koi";"(herum) gehen";"1";;;;;;NULL;NULL;;;"s kokoi";;"y";"10";"2023-05-16 10:49:46";NULL;NULL;"00:00:25"
"10_1684234902";"K";"160";"8";"koi";"ōffne, laß losǃ ";"2";"abakoi";;;;;NULL;NULL;;;"vgl kikõmõĩ[ñ]ãʔã";;"y";"10";"2023-05-16 11:01:42";NULL;NULL;"00:00:23"
"10_1684235054";"K";"160";"9";"koi";;"3";"ʔekoi";;;;;NULL;NULL;;;;;"y";"10";"2023-05-16 11:04:14";NULL;NULL;"00:00:49"
"10_1684235366";"K";"161";"1";"koi";;"4";;;;;;NULL;NULL;;;;;"y";"10";"2023-05-16 11:09:26";NULL;NULL;"00:00:02"
"10_1684235502";"K";"161";"2";"ekoi";"Knolle(nfrucht)";"5";;;;;;NULL;NULL;;;;"ML ubi";"y";"10";"2023-05-16 11:11:42";NULL;NULL;"00:00:04"
"10_1684235787";"K";"161";"3";"ekõʔĩãõ";"Baumart";;"ekõʔĩñãũ";;;;;NULL;NULL;;;"DEC 1671 kokja; Heyne 7/47 ekokjaoe, ekoknjaoe 'Gnetum Gnemon L.; XIz33f Fischnetze wurden aus dem Bast des baguk-Baumes angefertigt; XIIz6 Frauen nāhten mit Fāden aus baguk-Bast";"ML baguk";"y";"10";"2023-05-16 11:16:27";NULL;NULL;"00:00:42"
"10_1684235859";"K";"161";"4";"ekõʔĩãũ";;;;;;;;NULL;NULL;;;"s eodi ukõʔĩãũ";;"y";"10";"2023-05-16 11:17:39";NULL;NULL;"00:00:09"
"10_1684236047";"K";"161";"5";"ekõʔĩñãũ";"Baumart";;"ekõʔĩãõ";;;;;NULL;NULL;;;"35z27f";"ML baguk, Gnetum Gnemon L";"y";"10";"2023-05-16 11:20:47";NULL;NULL;"00:00:01"
"10_1684236203";"K";"161";"6";"koka";;;;;;;;NULL;NULL;;;;;;"10";"2023-05-16 11:23:42";"10";NULL;"00:00:30"
"10_1684236591";"K";"161";"7";"kokiʔi";;;;;;;;NULL;NULL;;;;;"y";"10";"2023-05-16 11:29:51";NULL;NULL;"00:00:02"
"10_1684236954";"K";"161";"8";"koko";;"1";;;;"susu";"10";NULL;NULL;;;;"Sim totuʔ";"y";"10";"2023-05-16 11:35:54";NULL;NULL;"00:00:58"
"10_1684237070";"K";"161";"9";"koko";;"2";;;;;;NULL;NULL;;;;;"y";"10";"2023-05-16 11:37:50";NULL;NULL;"00:00:54"
"10_1684237178";"K";"161";"10";"koko";"schlageǃ";"3";;;;;;NULL;NULL;;;"G8";;"y";"10";"2023-05-16 11:39:38";NULL;NULL;"00:00:09"
"10_1684290713";"K";"162";"1";"koko";;"4";;;;;;NULL;NULL;;;;;"y";"10";"2023-05-17 02:31:53";NULL;NULL;"00:00:06"
"10_1684290796";"K";"162";"2";"koko�?a ";;;;;;;;NULL;NULL;;;;;"y";"10";"2023-05-17 02:33:16";NULL;NULL;"00:00:16"
"10_1684290988";"K";"162";"3";"kokodio";"schwitzen";;"kohodi";;;;;NULL;NULL;;;;;"y";"10";"2023-05-17 02:36:28";NULL;NULL;"00:00:07"
"10_1684291251";"K";"162";"4";"kokoe�?he";;;;;;;;NULL;NULL;"koe�?he";;;;"y";"10";"2023-05-17 02:40:51";NULL;NULL;"00:00:52"
"10_1684291605";"K";"162";"5";"koko�?ho�?i";;;;;;;;NULL;NULL;"kokoi";;;;"y";"10";"2023-05-17 02:46:45";NULL;NULL;"00:00:50"
"10_1684291678";"K";"162";"6";"ekokoho:ibu";"Moos";;;;;;;NULL;NULL;;;;;"y";"10";"2023-05-17 02:47:58";NULL;NULL;"00:00:08"
"10_1684292624";"K";"162";"7";"koko�?i";;"1";;;;;;NULL;NULL;"koi";"1";;;"y";"10";"2023-05-17 03:03:44";NULL;NULL;"00:00:42"
"10_1684292684";"K";"162";"8";"kokoi";;"2";;;;;;NULL;NULL;;;;;"y";"10";"2023-05-17 03:04:44";NULL;NULL;"00:00:57"
"10_1684293021";"K";"162";"9";"koko�?iya";;;;;;;;NULL;NULL;"kokoi";"2?";;;"y";"10";"2023-05-17 03:10:21";NULL;NULL;"00:00:34"
"10_1684293213";"K";"162";"10";"kokoki";;;;;;;;NULL;NULL;;;;;"y";"10";"2023-05-17 03:13:33";NULL;NULL;"00:00:02"
"10_1684293365";"K";"163";"1";"kokokoko";"Lautnachahmung für das Gackern von Hūhnern";;;;;;;NULL;NULL;;;;;"y";"10";"2023-05-17 03:16:05";NULL;NULL;"00:00:14"
"10_1684293429";"K";"162";"2";"kokomĩmĩ";;;;;;;;NULL;NULL;;;;;"y";"10";"2023-05-17 03:17:09";NULL;NULL;"00:00:48"
"10_1684294505";"K";"163";"3";"kõkõnã";;;;;;;;NULL;NULL;"kõnã";;;;"y";"10";"2023-05-17 03:35:05";NULL;NULL;"00:00:21"
"10_1684852282";"K";"163";"4";"kõkõnĩ";;;;;;;;NULL;NULL;;;;;"y";"10";"2023-05-23 14:31:22";NULL;NULL;"00:00:22"
"10_1684855043";"K";"163";"5";"kokonĩʔĩ";;;;;;;;NULL;NULL;;;;;"y";"10";"2023-05-23 15:17:23";NULL;NULL;"00:00:54"
"10_1684978487";"K";"163";"6";"kokopiʔi";;;;;;;;NULL;NULL;"kopiʔi = hopiʔi ";;;;"y";"10";"2023-05-25 01:34:47";NULL;NULL;"00:00:29"
"10_1684979326";"K";"164";"1";"kole";;;"kore, kode";;"kore, kode (DIA) ";;;NULL;NULL;;;"H16 kolè 'het aan beide einden van een stok over de schouders dragen van lasten, wegdragen'";;"y";"10";"2023-05-25 01:48:46";NULL;NULL;"00:00:54"
"10_1684979387";"K";"164";"2";"kolei";;;"korei";;"korei (DIA)";;;NULL;NULL;;;;;"y";"10";"2023-05-25 01:49:47";NULL;NULL;"00:00:51"
"10_1684980482";"K";"164";"3";"komã";;;;;;;;NULL;NULL;;;;;"y";"10";"2023-05-25 02:08:02";NULL;NULL;"00:00:08"
"10_1685005177";"K";"164";"4";"kõmãʔã";;;;;;;;NULL;NULL;;;;;"y";"10";"2023-05-25 08:59:37";NULL;NULL;"00:00:06"
"10_1685054848";"K";"164";"5";"e[ʔ]akõmãʔã";"Fischreiher";;"eakõmãʔã�?õ";;;;;NULL;NULL;;;"de Jong 26: Op het rif ziet men in groote getale zilver- en purperreigers [Demigretta sacra sacra Gmelin, Ardea purpurea manillensis Meyen]";;;"10";"2023-05-25 23:00:47";"10";NULL;"00:00:46"
"10_1685055498";"K";"164";"6";"eakõmãʔã�?õ";"Reiher";;"e[ʔ]akõmãʔã";;;;;NULL;NULL;;;"XIIz13ff Der (Boots-) Steven war mit einem aus Holz geschnitzten Vogel, der einen fliegenden Reiher eakõmãʔã�?õ darstellen sollte, geschmückt. Er war Symbol der Schnelligkeit. ; MOD 209: ... sculture rappresentanti uccelli ad ali spiegate (fig.";;"y";"10";"2023-05-25 22:58:18";NULL;NULL;"00:00:40"
"10_1685056239";"K";"164";"7";"ekomãkũũ";"Geist, Gespenst";;;;;;;NULL;NULL;;;"105z6-24 ekumãkũ 'ein Dämon' ; MOD 128 Ecoè coma�?cu sta nelle caverne, ha la barba lunga ed i capelli fino alle spalle";;;"10";"2023-05-25 23:12:19";"10";NULL;"00:00:34"
"10_1685056988";"K";"165";"1";"kõmẽ";;;;;;;;NULL;NULL;;;;;"y";"10";"2023-05-25 23:23:08";NULL;NULL;"00:00:42"
"10_1685057088";"K";"165";"2";"komẽnii";;;;;;;;NULL;NULL;;;;;"y";"10";"2023-05-25 23:24:48";NULL;NULL;"00:00:37"
"10_1685058131";"K";"165";"3";"ekõmẽʔãũ";"winzige Stechfliegen";;"ekumãʔãũ, ekũmẽhã?ãhõ";;;;;NULL;NULL;;;;"ML agas-agas";"y";"10";"2023-05-25 23:42:11";NULL;NULL;"00:00:03"
"10_1685070497";"K";"165";"4";"ekõmõ";;"1";;;;;;NULL;NULL;;;;;"y";"10";"2023-05-26 03:08:17";NULL;NULL;"00:00:40"
"10_1685070598";"K";"165";"5";"kõmõ";;"2";;;;;;NULL;NULL;;;;;"y";"10";"2023-05-26 03:09:58";NULL;NULL;"00:00:31"
"10_1685071276";"K";"165";"6";"kõmõĩ";;;;;;;;NULL;NULL;"koi";"2";;;"y";"10";"2023-05-26 03:21:16";NULL;NULL;"00:00:14"
"10_1685071402";"K";"165";"7";"ekõmũkaʔa";"Zahnfleisch";;;;;;;NULL;NULL;"ekõmõ ukaʔa";;;;"y";"10";"2023-05-26 03:23:22";NULL;NULL;"00:00:59"
"10_1685071684";"K";"165";"8";"ekomũmũ�?ũ�? uʔodoko";"(""Schößling des Anhāngsels an der Halskette"" =) Muschelart";;;;;;;NULL;NULL;;;;"ML pucuk kalung";"y";"10";"2023-05-26 03:28:04";NULL;NULL;"00:00:57"
"10_1685071853";"K";"165";"9";"kona";;;"kobaʔ";;;;;NULL;NULL;;;;;"y";"10";"2023-05-26 03:30:53";NULL;NULL;"00:00:41"
"10_1685072187";"K";"165";"10";"kõnaa";;;;;;;;NULL;NULL;;;;"kõnaa > kõkõnaa";"y";"10";"2023-05-26 03:36:27";NULL;NULL;"00:00:22"
"10_1685072292";"K";"165";"11";"konaʔa";;;;;;;;NULL;NULL;"kona";;;;"y";"10";"2023-05-26 03:38:12";NULL;NULL;"00:00:38"
"10_1685072477";"K";"165";"12";"kõõnãʔã";"nimm Kurs auf etwas!, steure auf etwas los!";;;;;;;NULL;NULL;;;;;"y";"10";"2023-05-26 03:41:17";NULL;NULL;"00:00:54"
"10_1685072626";"K";"165";"13";"konãmũ";"in Wahrheit, in Wirklichkeit";;"ʔokũmõnãmũ ; ʔokũmũnãhã";;;;;NULL;NULL;;;"109z25, 110z19";;"y";"10";"2023-05-26 03:43:46";NULL;NULL;"00:00:10"
"10_1685072690";"K";"165";"14";"kõnĩkĩ";;"1";;;;;;NULL;NULL;"kĩnõ";;;;"y";"10";"2023-05-26 03:44:50";NULL;NULL;"00:00:57"
"10_1685075081";"P";"250";"1";"piʔika�?";;;;;;;;NULL;NULL;;;;;"y";"10";"2023-05-26 04:24:41";NULL;NULL;"00:00:51"
"10_1685075644";"P";"250";"2";"pĩʔĩõ�?";"Bündel";;;;;;;NULL;NULL;"pĩʔõ";"1";"Hilfszāhlwort, nicht in § 34b genannt";;"y";"10";"2023-05-26 04:34:04";NULL;NULL;"00:00:33"
"10_1685080862";"P";"250";"3";"pĩkã�?";;;;;;;;NULL;NULL;;;;;"y";"10";"2023-05-26 06:01:02";NULL;NULL;"00:00:29"
"10_1685081633";"P";"250";"4";"pikabi·xi";"bete für jmdǃ";;;;;;;NULL;NULL;;;;;"y";"10";"2023-05-26 06:13:53";NULL;NULL;"00:00:42"
"10_1685082038";"P";"250";"5";"piki";;"1";"mĩkĩ?";;;;;NULL;NULL;;;;;"y";"10";"2023-05-26 06:20:38";NULL;NULL;"00:00:36"
"10_1685082334";"P";"250";"6";"piki";;"2";"pikiʔi";;;;;NULL;NULL;;;;;"y";"10";"2023-05-26 06:25:34";NULL;NULL;"00:00:52"
"10_1685082502";"P";"250";"7";"pikiʔi";;;"piki²:";;;;;NULL;NULL;;;;;"y";"10";"2023-05-26 06:28:22";NULL;NULL;"00:00:33"
"10_1685082600";"P";"250";"8";"pikitaʔa";;;;;;;;NULL;NULL;;;;;"y";"10";"2023-05-26 06:30:00";NULL;NULL;"00:00:35"
"10_1685082716";"P";"250";"9";"epiko";"Maggisbaum, Mangosteen";"1";;;;;;NULL;NULL;;;"Heyne 187/5199 epiko und DEC 1592 Garcinia Mangostana L";;"y";"10";"2023-05-26 06:31:56";NULL;NULL;"00:00:51"
"10_1685082927";"P";"250";"10";"piko";;"2 ";;;;"piTik? (PMP) ; bətiʔ (Sim)";"11";NULL;NULL;;;;;;"10";"2023-05-26 06:40:26";"10";NULL;"00:00:24"
"10_1685092086";"P";"251";"1";"(piko�?ba)";;;;;;;;NULL;NULL;;;;;"y";"10";"2023-05-26 09:08:06";NULL;NULL;"00:00:06"
"10_1685093240";"P";"251";"2";"piko?o";;;;;;;;NULL;NULL;;;;;"y";"10";"2023-05-26 09:27:20";NULL;NULL;"00:00:20"
"10_1685094016";"P";"251";"3";"epiko�?ʔoa";"Baumart";;;;;;;NULL;NULL;;;"44z38";;"y";"10";"2023-05-26 09:40:16";NULL;NULL;"00:00:25"
"10_1685098651";"P";"251";"4";"pikoʔo�?i";;;;;;;;NULL;NULL;"piko";"2";;;"y";"10";"2023-05-26 10:57:31";NULL;NULL;"00:00:53"
"10_1685099154";"P";"251";"5";"epikopiko";"Liane";;;;;;;NULL;NULL;;;"H88:277 piko-piko";;"y";"10";"2023-05-26 11:05:54";NULL;NULL;"00:00:52"
"10_1685410494";"P";"251";"6";"pĩnã";;"1";;;;;;NULL;NULL;;;;;"y";"10";"2023-05-30 01:34:54";NULL;NULL;"00:00:20"
"10_1685413725";"P";"251";"7";"pĩnã";;"2";;;;;;NULL;NULL;;;;;"y";"10";"2023-05-30 02:28:45";NULL;NULL;"00:00:46"
"10_1685413824";"P";"251";"8";"Pinãkõõ";"Landzunge an der Westküste der Insel";;;;;;;NULL;NULL;;;;;"y";"10";"2023-05-30 02:30:24";NULL;NULL;"00:00:23"
"10_1685413913";"P";"251";"9";"epĩnãkõ�?õ�?";"Käferart";;;;;;;NULL;NULL;;;;;"y";"10";"2023-05-30 02:31:53";NULL;NULL;"00:00:25"
"10_1685413977";"P";"251";"10";"Pinãmĩũ";"geografischer Eigenname";;;;;;;NULL;NULL;;;;;"y";"10";"2023-05-30 02:32:57";NULL;NULL;"00:00:57"
"10_1685423947";"P";"252";"1";"pinẽ�?";;;;;;;;NULL;NULL;;;;;"y";"10";"2023-05-30 05:19:07";NULL;NULL;"00:00:15"
"10_1685424808";"P";"252";"2";"pinə̃kã";;;;;;;;NULL;NULL;"pəka";;;;"y";"10";"2023-05-30 05:33:28";NULL;NULL;"00:00:15"
"10_1685910215";"P";"252";"3";"pĩnĩ";;;;;;;;NULL;NULL;;;"vgl PMP kəmpit, BAR upi";;"y";"10";"2023-06-04 20:23:35";NULL;NULL;"00:00:02"
"10_1685910442";"P";"252";"4";"epĩnĩpĩnĩ";"baumlose Fläche";;;;;;;NULL;NULL;;;;;"y";"10";"2023-06-04 20:27:22";NULL;NULL;"00:00:30"
"10_1685910505";"P";"252";"5";"epinõʔã�?ẽã";"Frosch";;;;;;;NULL;NULL;;;"(de Jong 37�? Rana Macrodon Kuhl oder Rana nicobariensis Stol.)";;"y";"10";"2023-06-04 20:28:25";NULL;NULL;"00:00:56"
"10_1685910758";"P";"252";"6";"pĩnõ·ho�?iñã";;;"penohoyo";;;;;NULL;NULL;;;;;"y";"10";"2023-06-04 20:32:38";NULL;NULL;"00:00:01"
"10_1685911045";"P";"252";"7";"pinõkã";;;"pinə̃kã�?";;;;;NULL;NULL;"pəka";;;;"y";"10";"2023-06-04 20:37:25";NULL;NULL;"00:00:34"
"10_1685911113";"P";"252";"8";"pĩõ: ";;;;;;;;NULL;NULL;;;;;"y";"10";"2023-06-04 20:38:33";NULL;NULL;"00:00:58"
"10_1686010286";"P";"253";"1";"pĩʔõ";;"1";;;;;;NULL;NULL;;;;;;"10";"2023-06-06 00:11:48";"10";NULL;"00:00:16"
"10_1686010540";"P";"253";"2";"pĩʔõ";;"2";;;;;;NULL;NULL;;;;;"y";"10";"2023-06-06 00:15:40";NULL;NULL;"00:00:44"
"10_1686134259";"P";"253";"3";"piodi";;;;;;;;NULL;NULL;;;;;"y";"10";"2023-06-07 10:37:39";NULL;NULL;"00:00:20"
"10_1686134570";"P";"253";"4";"pĩ[ʔ]õhãʔã";;;;;;;;NULL;NULL;"pĩʔõ";"1";;;"y";"10";"2023-06-07 10:42:50";NULL;NULL;"00:00:20"
"10_1686135798";"P";"253";"5";"pĩʔõhĩ�?ãʔã";;;;;;;;NULL;NULL;"pĩʔõ";"1";;;"y";"10";"2023-06-07 11:03:18";NULL;NULL;"00:00:21"
"10_1686135861";"P";"253";"6";"pĩʔõhõ�?ãʔã";;;;;;;;NULL;NULL;"pĩʔõ";"1";;;"y";"10";"2023-06-07 11:04:21";NULL;NULL;"00:00:00"
"10_1686136309";"P";"253";"7";"pi�?oʔo";;;;;;;;NULL;NULL;;;;;"y";"10";"2023-06-07 11:11:49";NULL;NULL;"00:00:49"
"10_1686138349";"P";"253";"8";"pĩʔõpĩkĩ";;;;;;;;NULL;NULL;;;;;"y";"10";"2023-06-07 11:45:49";NULL;NULL;"00:00:04"
"10_1686138470";"P";"253";"9";"pĩpĩ";;;;;;;;NULL;NULL;;;;;"y";"10";"2023-06-07 11:47:50";NULL;NULL;"00:00:54"
"10_1686138617";"P";"253";"10";"pitaya";;;;;;;;NULL;NULL;;;;;"y";"10";"2023-06-07 11:50:17";NULL;NULL;"00:00:21"
